transfers	n_species	community_id	strep_conc	replicate	OD
1	2	P01	0	1	0.838
3	2	P01	0	1	0.262
5	2	P01	0	1	0.293
7	2	P01	0	1	0.299
8	2	P01	0	1	0.318
1	2	P01	0	2	0.916
3	2	P01	0	2	0.294
5	2	P01	0	2	0.3
7	2	P01	0	2	0.286
8	2	P01	0	2	0.297
1	2	P01	16	1	0.413
3	2	P01	16	1	0.163
5	2	P01	16	1	0.251
7	2	P01	16	1	0.232
8	2	P01	16	1	0.258
1	2	P01	16	2	0.439
3	2	P01	16	2	0.18
5	2	P01	16	2	0.284
7	2	P01	16	2	0.261
8	2	P01	16	2	0.277
1	2	P01	64	1	0.053
3	2	P01	64	1	0.129
5	2	P01	64	1	0.169
7	2	P01	64	1	0.151
8	2	P01	64	1	0.162
1	2	P01	64	2	0.203
3	2	P01	64	2	0.166
5	2	P01	64	2	0.17
7	2	P01	64	2	0.167
8	2	P01	64	2	0.166
1	2	P01	256	1	0.039
3	2	P01	256	1	0.037
5	2	P01	256	1	0.039
7	2	P01	256	1	0.037
8	2	P01	256	1	0.037
1	2	P01	256	2	0.036
3	2	P01	256	2	0.037
5	2	P01	256	2	0.043
7	2	P01	256	2	0.041
8	2	P01	256	2	0.042
1	2	P03	0	1	0.411
3	2	P03	0	1	0.27
5	2	P03	0	1	0.294
7	2	P03	0	1	0.297
8	2	P03	0	1	0.302
1	2	P03	0	2	0.42
3	2	P03	0	2	0.287
5	2	P03	0	2	0.289
7	2	P03	0	2	0.276
8	2	P03	0	2	0.277
1	2	P03	16	1	0.38
3	2	P03	16	1	0.268
5	2	P03	16	1	0.28
7	2	P03	16	1	0.255
8	2	P03	16	1	0.28
1	2	P03	16	2	0.351
3	2	P03	16	2	0.274
5	2	P03	16	2	0.293
7	2	P03	16	2	0.283
8	2	P03	16	2	0.275
1	2	P03	64	1	0.325
3	2	P03	64	1	0.242
5	2	P03	64	1	0.284
7	2	P03	64	1	0.266
8	2	P03	64	1	0.279
1	2	P03	64	2	0.34
3	2	P03	64	2	0.236
5	2	P03	64	2	0.257
7	2	P03	64	2	0.266
8	2	P03	64	2	0.237
1	2	P03	256	1	0.305
3	2	P03	256	1	0.228
5	2	P03	256	1	0.259
7	2	P03	256	1	0.243
8	2	P03	256	1	0.256
1	2	P03	256	2	0.326
3	2	P03	256	2	0.241
5	2	P03	256	2	0.265
7	2	P03	256	2	0.257
8	2	P03	256	2	0.251
1	2	P04	0	1	0.357
3	2	P04	0	1	0.268
5	2	P04	0	1	0.275
7	2	P04	0	1	0.28
8	2	P04	0	1	0.272
1	2	P04	0	2	0.347
3	2	P04	0	2	0.261
5	2	P04	0	2	0.275
7	2	P04	0	2	0.265
8	2	P04	0	2	0.259
1	2	P04	16	1	0.327
3	2	P04	16	1	0.267
5	2	P04	16	1	0.278
7	2	P04	16	1	0.249
8	2	P04	16	1	0.263
1	2	P04	16	2	0.329
3	2	P04	16	2	0.267
5	2	P04	16	2	0.282
7	2	P04	16	2	0.267
8	2	P04	16	2	0.251
1	2	P04	64	1	0.321
3	2	P04	64	1	0.241
5	2	P04	64	1	0.247
7	2	P04	64	1	0.248
8	2	P04	64	1	0.249
1	2	P04	64	2	0.331
3	2	P04	64	2	0.24
5	2	P04	64	2	0.253
7	2	P04	64	2	0.242
8	2	P04	64	2	0.235
1	2	P04	256	1	0.323
3	2	P04	256	1	0.243
5	2	P04	256	1	0.283
7	2	P04	256	1	0.24
8	2	P04	256	1	0.238
1	2	P04	256	2	0.309
3	2	P04	256	2	0.237
5	2	P04	256	2	0.252
7	2	P04	256	2	0.237
8	2	P04	256	2	0.252
1	2	P05	0	1	0.95
3	2	P05	0	1	0.268
5	2	P05	0	1	0.291
7	2	P05	0	1	0.302
8	2	P05	0	1	0.291
1	2	P05	0	2	0.962
3	2	P05	0	2	0.28
5	2	P05	0	2	0.288
7	2	P05	0	2	0.289
8	2	P05	0	2	0.27
1	2	P05	16	1	0.817
3	2	P05	16	1	0.278
5	2	P05	16	1	0.305
7	2	P05	16	1	0.29
8	2	P05	16	1	0.275
1	2	P05	16	2	0.837
3	2	P05	16	2	0.276
5	2	P05	16	2	0.296
7	2	P05	16	2	0.289
8	2	P05	16	2	0.276
1	2	P05	64	1	0.934
3	2	P05	64	1	0.269
5	2	P05	64	1	0.285
7	2	P05	64	1	0.277
8	2	P05	64	1	0.249
1	2	P05	64	2	0.779
3	2	P05	64	2	0.27
5	2	P05	64	2	0.274
7	2	P05	64	2	0.285
8	2	P05	64	2	0.263
1	2	P05	256	1	0.851
3	2	P05	256	1	0.22
5	2	P05	256	1	0.248
7	2	P05	256	1	0.259
8	2	P05	256	1	0.261
1	2	P05	256	2	0.806
3	2	P05	256	2	0.237
5	2	P05	256	2	0.253
7	2	P05	256	2	0.255
8	2	P05	256	2	0.267
1	2	P06	0	1	0.576
3	2	P06	0	1	0.233
5	2	P06	0	1	0.284
7	2	P06	0	1	0.321
8	2	P06	0	1	0.317
1	2	P06	0	2	0.732
3	2	P06	0	2	0.296
5	2	P06	0	2	0.31
7	2	P06	0	2	0.318
8	2	P06	0	2	0.31
1	2	P06	16	1	0.681
3	2	P06	16	1	0.274
5	2	P06	16	1	0.286
7	2	P06	16	1	0.267
8	2	P06	16	1	0.29
1	2	P06	16	2	0.678
3	2	P06	16	2	0.267
5	2	P06	16	2	0.286
7	2	P06	16	2	0.259
8	2	P06	16	2	0.251
1	2	P06	64	1	0.699
3	2	P06	64	1	0.199
5	2	P06	64	1	0.175
7	2	P06	64	1	0.187
8	2	P06	64	1	0.199
1	2	P06	64	2	0.507
3	2	P06	64	2	0.215
5	2	P06	64	2	0.219
7	2	P06	64	2	0.222
8	2	P06	64	2	0.21
1	2	P06	256	1	0.634
3	2	P06	256	1	0.204
5	2	P06	256	1	0.218
7	2	P06	256	1	0.209
8	2	P06	256	1	0.208
1	2	P06	256	2	0.502
3	2	P06	256	2	0.215
5	2	P06	256	2	0.22
7	2	P06	256	2	0.208
8	2	P06	256	2	0.216
1	2	P07	0	1	0.901
3	2	P07	0	1	0.284
5	2	P07	0	1	0.271
7	2	P07	0	1	0.306
8	2	P07	0	1	0.297
1	2	P07	0	2	1.44
3	2	P07	0	2	0.262
5	2	P07	0	2	0.298
7	2	P07	0	2	0.281
8	2	P07	0	2	0.294
1	2	P07	16	1	0.215
3	2	P07	16	1	0.175
5	2	P07	16	1	0.18
7	2	P07	16	1	0.178
8	2	P07	16	1	0.188
1	2	P07	16	2	0.762
3	2	P07	16	2	0.284
5	2	P07	16	2	0.313
7	2	P07	16	2	0.304
8	2	P07	16	2	0.295
1	2	P07	64	1	0.755
3	2	P07	64	1	0.288
5	2	P07	64	1	0.308
7	2	P07	64	1	0.302
8	2	P07	64	1	0.284
1	2	P07	64	2	0.221
3	2	P07	64	2	0.17
5	2	P07	64	2	0.17
7	2	P07	64	2	0.172
8	2	P07	64	2	0.169
1	2	P07	256	1	0.208
3	2	P07	256	1	0.164
5	2	P07	256	1	0.17
7	2	P07	256	1	0.181
8	2	P07	256	1	0.169
1	2	P07	256	2	0.231
3	2	P07	256	2	0.163
5	2	P07	256	2	0.178
7	2	P07	256	2	0.175
8	2	P07	256	2	0.176
1	2	P08	0	1	0.594
3	2	P08	0	1	0.464
5	2	P08	0	1	0.241
7	2	P08	0	1	0.224
8	2	P08	0	1	0.244
1	2	P08	0	2	0.664
3	2	P08	0	2	0.244
5	2	P08	0	2	0.232
7	2	P08	0	2	0.232
8	2	P08	0	2	0.233
1	2	P08	16	1	0.643
3	2	P08	16	1	0.256
5	2	P08	16	1	0.255
7	2	P08	16	1	0.222
8	2	P08	16	1	0.249
1	2	P08	16	2	0.587
3	2	P08	16	2	0.315
5	2	P08	16	2	0.231
7	2	P08	16	2	0.22
8	2	P08	16	2	0.263
1	2	P08	64	1	0.607
3	2	P08	64	1	0.247
5	2	P08	64	1	0.258
7	2	P08	64	1	0.254
8	2	P08	64	1	0.221
1	2	P08	64	2	0.588
3	2	P08	64	2	0.227
5	2	P08	64	2	0.268
7	2	P08	64	2	0.219
8	2	P08	64	2	0.201
1	2	P08	256	1	0.45
3	2	P08	256	1	0.271
5	2	P08	256	1	0.228
7	2	P08	256	1	0.225
8	2	P08	256	1	0.24
1	2	P08	256	2	0.529
3	2	P08	256	2	0.23
5	2	P08	256	2	0.289
7	2	P08	256	2	0.241
8	2	P08	256	2	0.25
1	2	P09	0	1	0.387
3	2	P09	0	1	0.268
5	2	P09	0	1	0.29
