sample	community_id	n_species	community_type	transfers	strep_conc	replicate	plate_well	notes
P01_1_0	P01	2	experiment	8	0	1	01A	
P02_2_0	P02	2	experiment	8	0	2	01B	
P25_1_0	P25	2	experiment	8	0	1	01C	
P26_2_0	P26	2	experiment	8	0	2	01D	
P03_1_0	P03	2	experiment	8	0	1	01E	
P04_2_0	P04	2	experiment	8	0	2	01F	
P27_1_0	P27	2	experiment	8	0	1	01G	
P28_2_0	P28	2	experiment	8	0	2	01H	
P01_2_0	P01	2	experiment	8	0	2	02A	
P02_1_0	P02	2	experiment	8	0	1	02B	
P25_2_0	P25	2	experiment	8	0	2	02C	
P26_1_0	P26	2	experiment	8	0	1	02D	
P03_2_0	P03	2	experiment	8	0	2	02E	
P04_1_0	P04	2	experiment	8	0	1	02F	
P27_2_0	P27	2	experiment	8	0	2	02G	
P28_1_0	P28	2	experiment	8	0	1	02H	
P07_1_0	P07	2	experiment	8	0	1	03A	
P08_2_0	P08	2	experiment	8	0	2	03B	
P31_1_0	P31	2	experiment	8	0	1	03C	
P32_2_0	P32	2	experiment	8	0	2	03D	
P09_1_0	P09	2	experiment	8	0	1	03E	
P10_2_0	P10	2	experiment	8	0	2	03F	
P33_1_0	P33	2	experiment	8	0	1	03G	
P34_2_0	P34	2	experiment	8	0	2	03H	
P07_2_0	P07	2	experiment	8	0	2	04A	
P08_1_0	P08	2	experiment	8	0	1	04B	
P31_2_0	P31	2	experiment	8	0	2	04C	
P32_1_0	P32	2	experiment	8	0	1	04D	
P09_2_0	P09	2	experiment	8	0	2	04E	
P10_1_0	P10	2	experiment	8	0	1	04F	
P33_2_0	P33	2	experiment	8	0	2	04G	
P34_1_0	P34	2	experiment	8	0	1	04H	
P13_1_0	P13	2	experiment	8	0	1	05A	
P14_2_0	P14	2	experiment	8	0	2	05B	
P37_1_0	P37	2	experiment	8	0	1	05C	
P38_2_0	P38	2	experiment	8	0	2	05D	
P15_1_0	P15	2	experiment	8	0	1	05E	
P16_2_0	P16	2	experiment	8	0	2	05F	
P39_1_0	P39	2	experiment	8	0	1	05G	
