sample	evo_hist	strainID	target_f
3_p01_A01	anc	HAMBI_0403	0.1
3_p01_A01	anc	HAMBI_1287	0.1
3_p01_A01	anc	HAMBI_1896	0.8
3_p01_A02	anc	HAMBI_0403	0.1
3_p01_A02	anc	HAMBI_1287	0.1
3_p01_A02	anc	HAMBI_1977	0.8
3_p01_A03	anc	HAMBI_0403	0.1
3_p01_A03	anc	HAMBI_1287	0.1
3_p01_A03	evo	HAMBI_1896	0.8
3_p01_A04	anc	HAMBI_0403	0.1
3_p01_A04	anc	HAMBI_1287	0.1
3_p01_A04	evo	HAMBI_1977	0.8
3_p01_A05	anc	HAMBI_0403	0.1
3_p01_A05	anc	HAMBI_1287	0.8
3_p01_A05	anc	HAMBI_1896	0.1
3_p01_A06	anc	HAMBI_0403	0.1
3_p01_A06	anc	HAMBI_1287	0.8
3_p01_A06	anc	HAMBI_1977	0.1
3_p01_A07	anc	HAMBI_0403	0.1
3_p01_A07	anc	HAMBI_1287	0.8
3_p01_A07	evo	HAMBI_1896	0.1
3_p01_A08	anc	HAMBI_0403	0.1
3_p01_A08	anc	HAMBI_1287	0.8
3_p01_A08	evo	HAMBI_1977	0.1
3_p01_A09	anc	HAMBI_0403	0.1
3_p01_A09	anc	HAMBI_1977	0.1
3_p01_A09	anc	HAMBI_1896	0.8
3_p01_A10	anc	HAMBI_0403	0.1
3_p01_A10	anc	HAMBI_1977	0.1
3_p01_A10	evo	HAMBI_1896	0.8
3_p01_A11	anc	HAMBI_0403	0.1
3_p01_A11	anc	HAMBI_1977	0.8
3_p01_A11	anc	HAMBI_1896	0.1
3_p01_A12	anc	HAMBI_0403	0.1
3_p01_A12	anc	HAMBI_1977	0.8
3_p01_A12	evo	HAMBI_1896	0.1
3_p01_C01	anc	HAMBI_0403	0.1
3_p01_C01	evo	HAMBI_1287	0.1
3_p01_C01	anc	HAMBI_1896	0.8
3_p01_C02	anc	HAMBI_0403	0.1
3_p01_C02	evo	HAMBI_1287	0.1
3_p01_C02	anc	HAMBI_1977	0.8
3_p01_C03	anc	HAMBI_0403	0.1
3_p01_C03	evo	HAMBI_1287	0.1
3_p01_C03	evo	HAMBI_1896	0.8
3_p01_C04	anc	HAMBI_0403	0.1
3_p01_C04	evo	HAMBI_1287	0.1
3_p01_C04	evo	HAMBI_1977	0.8
