sample	microcosm_id	n_species	community_type	transfers	strep_conc	replicate	plate_well	plate_no	notes
3_p03_A01	1	3	experiment	8	16	1	A01	p03	
3_p03_A02	2	3	experiment	8	16	1	A02	p03	
3_p03_A03	3	3	experiment	8	16	1	A03	p03	
3_p03_A04	4	3	experiment	8	16	1	A04	p03	
3_p03_A05	5	3	experiment	8	16	1	A05	p03	
3_p03_A06	6	3	experiment	8	16	1	A06	p03	
3_p03_A07	7	3	experiment	8	16	1	A07	p03	
3_p03_A08	8	3	experiment	8	16	1	A08	p03	
3_p03_A09	9	3	experiment	8	16	1	A09	p03	
3_p03_A10	10	3	experiment	8	16	1	A10	p03	
3_p03_A11	11	3	experiment	8	16	1	A11	p03	
3_p03_A12	12	3	experiment	8	16	1	A12	p03	
3_p03_B01	49	3	experiment	8	16	1	B01	p03	
3_p03_B02	50	3	experiment	8	16	1	B02	p03	
3_p03_B03	51	3	experiment	8	16	1	B03	p03	
3_p03_B04	52	3	experiment	8	16	1	B04	p03	
3_p03_B05	53	3	experiment	8	16	1	B05	p03	
3_p03_B06	54	3	experiment	8	16	1	B06	p03	
3_p03_B07	55	3	experiment	8	16	1	B07	p03	
3_p03_B08	56	3	experiment	8	16	1	B08	p03	
3_p03_B09	57	3	experiment	8	16	1	B09	p03	
3_p03_B10	58	3	experiment	8	16	1	B10	p03	
3_p03_B11	59	3	experiment	8	16	1	B11	p03	
3_p03_B12	60	3	experiment	8	16	1	B12	p03	
3_p03_C01	13	3	experiment	8	16	1	C01	p03	
3_p03_C02	14	3	experiment	8	16	1	C02	p03	
3_p03_C03	15	3	experiment	8	16	1	C03	p03	
3_p03_C04	16	3	experiment	8	16	1	C04	p03	
3_p03_C05	17	3	experiment	8	16	1	C05	p03	
3_p03_C06	18	3	experiment	8	16	1	C06	p03	
3_p03_C07	19	3	experiment	8	16	1	C07	p03	
3_p03_C08	20	3	experiment	8	16	1	C08	p03	
3_p03_C09	21	3	experiment	8	16	1	C09	p03	
3_p03_C10	22	3	experiment	8	16	1	C10	p03	
3_p03_C11	23	3	experiment	8	16	1	C11	p03	
3_p03_C12	24	3	experiment	8	16	1	C12	p03	
3_p03_D01	61	3	experiment	8	16	1	D01	p03	
3_p03_D02	62	3	experiment	8	16	1	D02	p03	
3_p03_D03	63	3	experiment	8	16	1	D03	p03	
3_p03_D04	64	3	experiment	8	16	1	D04	p03	
3_p03_D05	65	3	experiment	8	16	1	D05	p03	
3_p03_D06	66	3	experiment	8	16	1	D06	p03	
3_p03_D07	67	3	experiment	8	16	1	D07	p03	
3_p03_D08	68	3	experiment	8	16	1	D08	p03	
3_p03_D09	69	3	experiment	8	16	1	D09	p03	
3_p03_D10	70	3	experiment	8	16	1	D10	p03	
3_p03_D11	71	3	experiment	8	16	1	D11	p03	
3_p03_D12	72	3	experiment	8	16	1	D12	p03	
3_p03_E01	25	3	experiment	8	16	1	E01	p03	
3_p03_E02	26	3	experiment	8	16	1	E02	p03	
3_p03_E03	27	3	experiment	8	16	1	E03	p03	
3_p03_E04	28	3	experiment	8	16	1	E04	p03	
3_p03_E05	29	3	experiment	8	16	1	E05	p03	
3_p03_E06	30	3	experiment	8	16	1	E06	p03	
3_p03_E07	31	3	experiment	8	16	1	E07	p03	
3_p03_E08	32	3	experiment	8	16	1	E08	p03	
3_p03_E09	33	3	experiment	8	16	1	E09	p03	
3_p03_E10	34	3	experiment	8	16	1	E10	p03	
3_p03_E11	35	3	experiment	8	16	1	E11	p03	
3_p03_E12	36	3	experiment	8	16	1	E12	p03	
3_p03_F01	73	3	experiment	8	16	1	F01	p03	
3_p03_F02	74	3	experiment	8	16	1	F02	p03	
3_p03_F03	75	3	experiment	8	16	1	F03	p03	
3_p03_F04	76	3	experiment	8	16	1	F04	p03	
3_p03_F05	77	3	experiment	8	16	1	F05	p03	
3_p03_F06	78	3	experiment	8	16	1	F06	p03	
3_p03_F07	79	3	experiment	8	16	1	F07	p03	
3_p03_F08	80	3	experiment	8	16	1	F08	p03	
3_p03_F09	81	3	experiment	8	16	1	F09	p03	
3_p03_F10	82	3	experiment	8	16	1	F10	p03	
3_p03_F11	83	3	experiment	8	16	1	F11	p03	
3_p03_F12	84	3	experiment	8	16	1	F12	p03	
3_p03_G01	37	3	experiment	8	16	1	G01	p03	
3_p03_G02	38	3	experiment	8	16	1	G02	p03	
3_p03_G03	39	3	experiment	8	16	1	G03	p03	
3_p03_G04	40	3	experiment	8	16	1	G04	p03	
3_p03_G05	41	3	experiment	8	16	1	G05	p03	
3_p03_G06	42	3	experiment	8	16	1	G06	p03	
3_p03_G07	43	3	experiment	8	16	1	G07	p03	
3_p03_G08	44	3	experiment	8	16	1	G08	p03	
3_p03_G09	45	3	experiment	8	16	1	G09	p03	
3_p03_G10	46	3	experiment	8	16	1	G10	p03	
3_p03_G11	47	3	experiment	8	16	1	G11	p03	
3_p03_G12	48	3	experiment	8	16	1	G12	p03	
3_p03_H01	85	3	experiment	8	16	1	H01	p03	
3_p03_H02	86	3	experiment	8	16	1	H02	p03	
3_p03_H03	87	3	experiment	8	16	1	H03	p03	
3_p03_H04	88	3	experiment	8	16	1	H04	p03	
3_p03_H05	89	3	experiment	8	16	1	H05	p03	
3_p03_H06	90	3	experiment	8	16	1	H06	p03	
3_p03_H07	91	3	experiment	8	16	1	H07	p03	
3_p03_H08	92	3	experiment	8	16	1	H08	p03	
3_p03_H09	93	3	experiment	8	16	1	H09	p03	
3_p03_H10	94	3	experiment	8	16	1	H10	p03	
3_p03_H11	95	3	experiment	8	16	1	H11	p03	
3_p03_H12	96	3	experiment	8	16	1	H12	p03	
3_p04_A01	1	3	experiment	8	16	2	A01	p04	
3_p04_A02	2	3	experiment	8	16	2	A02	p04	
3_p04_A03	3	3	experiment	8	16	2	A03	p04	
3_p04_A04	4	3	experiment	8	16	2	A04	p04	
3_p04_A05	5	3	experiment	8	16	2	A05	p04	
3_p04_A06	6	3	experiment	8	16	2	A06	p04	
