,1,2,3,4,5,6,7,8,9,10,11,12
A,0.277,0.046,0.295,0.042,0.273,0.044,0.212,0.041,0.354,0.044,0.278,0.040
B,0.057,0.245,0.040,0.263,0.046,0.305,0.039,0.277,0.042,0.330,0.044,0.317
C,0.255,0.059,0.227,0.044,0.285,0.040,0.224,0.044,0.335,0.044,0.313,0.047
D,0.043,0.290,0.252,0.247,0.261,0.301,0.043,0.283,0.047,0.328,0.078,0.334
E,0.275,0.044,0.281,0.041,0.293,0.044,0.270,0.041,0.276,0.046,0.275,0.047
F,0.040,0.251,0.042,0.258,0.046,0.311,0.044,0.254,0.043,0.251,0.044,0.271
G,0.243,0.041,0.271,0.040,0.322,0.040,0.267,0.258,0.269,0.043,0.263,0.045
H,0.040,0.246,0.040,0.266,0.040,0.316,0.041,0.252,0.045,0.212,0.042,0.272



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



