,1,2,3,4,5,6,7,8,9,10,11,12
A,0.313,0.297,0.275,0.306,0.320,0.305,0.317,0.297,0.342,0.294,0.317,0.289
B,0.328,0.332,0.309,0.285,0.322,0.305,0.311,0.257,0.348,0.309,0.342,0.303
C,0.335,0.354,0.310,0.345,0.352,0.333,0.322,0.314,0.338,0.290,0.321,0.285
D,0.330,0.331,0.309,0.299,0.331,0.337,0.313,0.320,0.309,0.297,0.322,0.304
E,0.332,0.304,0.278,0.280,0.334,0.281,0.347,0.341,0.345,0.305,0.344,0.294
F,0.336,0.326,0.300,0.263,0.346,0.281,0.332,0.305,0.311,0.319,0.331,0.299
G,0.355,0.303,0.366,0.363,0.329,0.343,0.333,0.313,0.341,0.341,0.336,0.309
H,0.323,0.345,0.343,0.341,0.334,0.315,0.332,0.336,0.341,0.338,0.329,0.330



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



