,1,2,3,4,5,6,7,8,9,10,11,12
A,0.166,0.039,0.170,0.040,0.273,0.042,0.221,0.042,0.236,0.039,0.243,0.038
B,0.038,0.264,0.040,0.227,0.047,0.270,0.043,0.270,0.040,0.311,0.041,0.309
C,0.040,0.047,0.162,0.036,0.270,0.040,0.222,0.047,0.253,0.042,0.238,0.040
D,0.037,0.277,0.041,0.324,0.043,0.275,0.040,0.272,0.043,0.308,0.041,0.311
E,0.236,0.040,0.268,0.039,0.272,0.042,0.255,0.041,0.270,0.042,0.277,0.046
F,0.038,0.240,0.043,0.256,0.046,0.264,0.045,0.241,0.041,0.215,0.040,0.259
G,0.227,0.042,0.259,0.038,0.262,0.040,0.237,0.266,0.269,0.042,0.275,0.039
H,0.040,0.241,0.039,0.258,0.038,0.304,0.040,0.234,0.042,0.208,0.040,0.273



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



