,1,2,3,4,5,6,7,8,9,10,11,12
A,0.299,0.295,0.266,0.275,0.292,0.268,0.293,0.281,0.330,0.299,0.300,0.285
B,0.306,0.322,0.277,0.283,0.273,0.284,0.275,0.252,0.334,0.298,0.311,0.283
C,0.310,0.316,0.300,0.309,0.324,0.307,0.305,0.272,0.320,0.293,0.355,0.283
D,0.314,0.298,0.263,0.275,0.305,0.311,0.285,0.268,0.321,0.291,0.307,0.275
E,0.328,0.297,0.280,0.274,0.300,0.290,0.260,0.311,0.312,0.257,0.317,0.275
F,0.283,0.314,0.289,0.267,0.308,0.247,0.265,0.259,0.264,0.233,0.289,0.289
G,0.331,0.273,0.326,0.317,0.326,0.310,0.327,0.315,0.330,0.305,0.310,0.287
H,0.324,0.284,0.309,0.287,0.309,0.278,0.309,0.278,0.307,0.293,0.308,0.293



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



