,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.047,0.181,0.040,0.263,0.045,0.216,0.039,0.242,0.041,0.242,0.039
B,0.042,0.279,0.038,0.225,0.048,0.293,0.034,0.289,0.038,0.326,0.038,0.305
C,0.037,0.052,0.183,0.042,0.265,0.039,0.216,0.039,0.245,0.041,0.247,0.041
D,0.042,0.262,0.039,0.215,0.041,0.292,0.042,0.285,0.042,0.316,0.040,0.307
E,0.243,0.042,0.287,0.040,0.261,0.043,0.177,0.039,0.259,0.044,0.288,0.041
F,0.039,0.240,0.043,0.272,0.044,0.288,0.044,0.302,0.043,0.209,0.041,0.270
G,0.242,0.039,0.277,0.040,0.258,0.206,0.208,0.247,0.250,0.041,0.255,0.039
H,0.039,0.242,0.041,0.275,0.039,0.293,0.041,0.247,0.042,0.207,0.041,0.274



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



