,1,2,3,4,5,6,7,8,9,10,11,12
A,0.323,0.328,0.313,0.305,0.317,0.327,0.313,0.312,0.350,0.287,0.325,0.288
B,0.322,0.322,0.304,0.298,0.303,0.310,0.305,0.294,0.342,0.308,0.338,0.297
C,0.335,0.356,0.320,0.323,0.349,0.345,0.330,0.321,0.340,0.310,0.345,0.299
D,0.347,0.348,0.314,0.286,0.344,0.350,0.316,0.323,0.352,0.312,0.347,0.304
E,0.337,0.319,0.297,0.298,0.345,0.287,0.339,0.352,0.316,0.307,0.348,0.293
F,0.266,0.312,0.256,0.296,0.346,0.297,0.289,0.285,0.277,0.285,0.337,0.298
G,0.350,0.347,0.347,0.349,0.357,0.345,0.355,0.339,0.361,0.323,0.349,0.314
H,0.344,0.350,0.349,0.355,0.351,0.345,0.354,0.350,0.353,0.345,0.347,0.344



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



