transfers	n_species	well	strep_conc	replicate	OD
1	3	A1	0	1	0.956
3	3	A1	0	1	0.370
5	3	A1	0	1	0.349
7	3	A1	0	1	0.338
8	3	A1	0	1	0.322
1	3	A1	0	2	0.858
3	3	A1	0	2	0.339
5	3	A1	0	2	0.34
7	3	A1	0	2	0.336
8	3	A1	0	2	0.315
1	4	A1	0	1	0.042
3	4	A1	0	1	0.039
5	4	A1	0	1	0.038
7	4	A1	0	1	0.038
8	4	A1	0	1	0.042
1	4	A1	0	2	0.042
3	4	A1	0	2	0.038
5	4	A1	0	2	0.039
7	4	A1	0	2	0.039
8	4	A1	0	2	0.041
1	3	A1	16	1	0.910
3	3	A1	16	1	0.318
5	3	A1	16	1	0.305
7	3	A1	16	1	0.31
8	3	A1	16	1	0.284
1	3	A1	16	2	0.772
3	3	A1	16	2	0.323
5	3	A1	16	2	0.303
7	3	A1	16	2	0.301
8	3	A1	16	2	0.274
1	4	A1	16	1	0.045
3	4	A1	16	1	0.038
5	4	A1	16	1	0.04
7	4	A1	16	1	0.041
8	4	A1	16	1	0.039
1	4	A1	16	2	0.044
3	4	A1	16	2	0.039
5	4	A1	16	2	0.039
7	4	A1	16	2	0.039
8	4	A1	16	2	0.039
1	3	A1	64	1	0.843
3	3	A1	64	1	0.308
5	3	A1	64	1	0.292
7	3	A1	64	1	0.293
8	3	A1	64	1	0.272
1	3	A1	64	2	0.949
3	3	A1	64	2	0.309
5	3	A1	64	2	0.306
7	3	A1	64	2	0.3
8	3	A1	64	2	0.267
1	4	A1	64	1	0.037
3	4	A1	64	1	0.046
5	4	A1	64	1	0.038
7	4	A1	64	1	0.04
8	4	A1	64	1	0.042
1	4	A1	64	2	0.040
3	4	A1	64	2	0.040
5	4	A1	64	2	0.039
7	4	A1	64	2	0.036
8	4	A1	64	2	0.038
1	3	A1	256	1	0.916
3	3	A1	256	1	0.267
5	3	A1	256	1	0.26
7	3	A1	256	1	0.285
8	3	A1	256	1	0.284
1	3	A1	256	2	0.907
3	3	A1	256	2	0.255
5	3	A1	256	2	0.281
7	3	A1	256	2	0.273
8	3	A1	256	2	0.252
1	4	A1	256	1	0.043
3	4	A1	256	1	0.040
5	4	A1	256	1	0.04
7	4	A1	256	1	0.038
8	4	A1	256	1	0.037
1	4	A1	256	2	0.040
3	4	A1	256	2	0.044
5	4	A1	256	2	0.041
7	4	A1	256	2	0.04
8	4	A1	256	2	0.041
1	3	A10	0	1	0.925
3	3	A10	0	1	0.395
5	3	A10	0	1	0.38
7	3	A10	0	1	0.386
8	3	A10	0	1	0.357
1	3	A10	0	2	0.918
3	3	A10	0	2	0.373
5	3	A10	0	2	0.378
7	3	A10	0	2	0.376
8	3	A10	0	2	0.396
1	4	A10	0	1	1.007
3	4	A10	0	1	0.344
5	4	A10	0	1	0.347
7	4	A10	0	1	0.301
8	4	A10	0	1	0.327
1	4	A10	0	2	0.901
3	4	A10	0	2	0.339
5	4	A10	0	2	0.335
7	4	A10	0	2	0.343
8	4	A10	0	2	0.306
1	3	A10	16	1	0.321
3	3	A10	16	1	0.286
5	3	A10	16	1	0.325
7	3	A10	16	1	0.335
8	3	A10	16	1	0.338
1	3	A10	16	2	0.306
3	3	A10	16	2	0.314
5	3	A10	16	2	0.328
7	3	A10	16	2	0.325
8	3	A10	16	2	0.27
1	4	A10	16	1	0.863
3	4	A10	16	1	0.342
5	4	A10	16	1	0.344
7	4	A10	16	1	0.323
8	4	A10	16	1	0.316
1	4	A10	16	2	1.045
3	4	A10	16	2	0.334
5	4	A10	16	2	0.332
7	4	A10	16	2	0.335
8	4	A10	16	2	0.313
1	3	A10	64	1	0.322
3	3	A10	64	1	0.263
5	3	A10	64	1	0.247
7	3	A10	64	1	0.249
8	3	A10	64	1	0.23
1	3	A10	64	2	0.316
3	3	A10	64	2	0.253
5	3	A10	64	2	0.234
7	3	A10	64	2	0.23
8	3	A10	64	2	0.225
1	4	A10	64	1	0.791
3	4	A10	64	1	0.289
5	4	A10	64	1	0.285
7	4	A10	64	1	0.305
8	4	A10	64	1	0.297
1	4	A10	64	2	0.883
3	4	A10	64	2	0.342
5	4	A10	64	2	0.334
7	4	A10	64	2	0.325
8	4	A10	64	2	0.324
1	3	A10	256	1	0.311
3	3	A10	256	1	0.254
5	3	A10	256	1	0.241
7	3	A10	256	1	0.249
8	3	A10	256	1	0.24
1	3	A10	256	2	0.347
3	3	A10	256	2	0.280
5	3	A10	256	2	0.239
7	3	A10	256	2	0.259
8	3	A10	256	2	0.232
1	4	A10	256	1	0.834
3	4	A10	256	1	0.304
5	4	A10	256	1	0.284
7	4	A10	256	1	0.297
8	4	A10	256	1	0.277
1	4	A10	256	2	0.986
3	4	A10	256	2	0.287
5	4	A10	256	2	0.301
7	4	A10	256	2	0.313
8	4	A10	256	2	0.296
1	3	A11	0	1	0.984
3	3	A11	0	1	0.405
5	3	A11	0	1	0.384
7	3	A11	0	1	0.38
8	3	A11	0	1	0.335
1	3	A11	0	2	0.875
3	3	A11	0	2	0.371
5	3	A11	0	2	0.379
7	3	A11	0	2	0.361
8	3	A11	0	2	0.375
1	4	A11	0	1	1.013
3	4	A11	0	1	0.358
5	4	A11	0	1	0.38
7	4	A11	0	1	0.352
8	4	A11	0	1	0.352
1	4	A11	0	2	0.756
3	4	A11	0	2	0.379
5	4	A11	0	2	0.364
7	4	A11	0	2	0.368
8	4	A11	0	2	0.33
1	3	A11	16	1	0.423
3	3	A11	16	1	0.268
5	3	A11	16	1	0.294
7	3	A11	16	1	0.349
8	3	A11	16	1	0.357
1	3	A11	16	2	0.422
3	3	A11	16	2	0.268
5	3	A11	16	2	0.296
7	3	A11	16	2	0.361
8	3	A11	16	2	0.306
1	4	A11	16	1	0.656
3	4	A11	16	1	0.272
5	4	A11	16	1	0.198
7	4	A11	16	1	0.222
8	4	A11	16	1	0.226
1	4	A11	16	2	0.753
3	4	A11	16	2	0.272
5	4	A11	16	2	0.266
7	4	A11	16	2	0.265
8	4	A11	16	2	0.245
1	3	A11	64	1	0.309
3	3	A11	64	1	0.289
5	3	A11	64	1	0.26
7	3	A11	64	1	0.296
8	3	A11	64	1	0.274
1	3	A11	64	2	0.321
3	3	A11	64	2	0.300
5	3	A11	64	2	0.312
7	3	A11	64	2	0.304
8	3	A11	64	2	0.294
1	4	A11	64	1	0.756
3	4	A11	64	1	0.265
5	4	A11	64	1	0.252
7	4	A11	64	1	0.259
8	4	A11	64	1	0.247
1	4	A11	64	2	0.721
3	4	A11	64	2	0.269
5	4	A11	64	2	0.263
7	4	A11	64	2	0.244
8	4	A11	64	2	0.248
1	3	A11	256	1	0.265
3	3	A11	256	1	0.240
5	3	A11	256	1	0.234
7	3	A11	256	1	0.257
