transfers	n_species	sample	well	strep_conc	replicate	OD
1	3	3_p03_A01	A1	16	1	0.910
1	3	3_p03_B01	B1	16	1	0.931
1	3	3_p03_C01	C1	16	1	0.715
1	3	3_p03_D01	D1	16	1	0.658
1	3	3_p03_E01	E1	16	1	0.856
1	3	3_p03_F01	F1	16	1	0.919
1	3	3_p03_G01	G1	16	1	0.876
1	3	3_p03_H01	H1	16	1	0.701
1	3	3_p03_A02	A2	16	1	0.964
1	3	3_p03_B02	B2	16	1	0.733
1	3	3_p03_C02	C2	16	1	0.720
1	3	3_p03_D02	D2	16	1	0.625
1	3	3_p03_E02	E2	16	1	0.821
1	3	3_p03_F02	F2	16	1	0.824
1	3	3_p03_G02	G2	16	1	0.811
1	3	3_p03_H02	H2	16	1	0.597
1	3	3_p03_A03	A3	16	1	0.863
1	3	3_p03_B03	B3	16	1	0.819
1	3	3_p03_C03	C3	16	1	0.598
1	3	3_p03_D03	D3	16	1	0.651
1	3	3_p03_E03	E3	16	1	0.911
1	3	3_p03_F03	F3	16	1	0.950
1	3	3_p03_G03	G3	16	1	0.962
1	3	3_p03_H03	H3	16	1	0.761
1	3	3_p03_A04	A4	16	1	0.910
1	3	3_p03_B04	B4	16	1	0.896
1	3	3_p03_C04	C4	16	1	1.318
1	3	3_p03_D04	D4	16	1	1.054
1	3	3_p03_E04	E4	16	1	0.867
1	3	3_p03_F04	F4	16	1	0.919
1	3	3_p03_G04	G4	16	1	0.951
1	3	3_p03_H04	H4	16	1	0.553
1	3	3_p03_A05	A5	16	1	0.950
1	3	3_p03_B05	B5	16	1	0.961
1	3	3_p03_C05	C5	16	1	0.624
1	3	3_p03_D05	D5	16	1	0.691
1	3	3_p03_E05	E5	16	1	0.405
1	3	3_p03_F05	F5	16	1	0.386
1	3	3_p03_G05	G5	16	1	0.781
1	3	3_p03_H05	H5	16	1	0.700
1	3	3_p03_A06	A6	16	1	0.932
1	3	3_p03_B06	B6	16	1	1.012
1	3	3_p03_C06	C6	16	1	0.743
1	3	3_p03_D06	D6	16	1	0.708
1	3	3_p03_E06	E6	16	1	0.322
1	3	3_p03_F06	F6	16	1	0.365
1	3	3_p03_G06	G6	16	1	0.833
1	3	3_p03_H06	H6	16	1	0.658
1	3	3_p03_A07	A7	16	1	0.956
1	3	3_p03_B07	B7	16	1	1.013
1	3	3_p03_C07	C7	16	1	0.784
1	3	3_p03_D07	D7	16	1	0.739
1	3	3_p03_E07	E7	16	1	0.755
1	3	3_p03_F07	F7	16	1	0.742
1	3	3_p03_G07	G7	16	1	1.036
1	3	3_p03_H07	H7	16	1	1.366
1	3	3_p03_A08	A8	16	1	0.975
1	3	3_p03_B08	B8	16	1	0.931
1	3	3_p03_C08	C8	16	1	0.694
1	3	3_p03_D08	D8	16	1	0.654
1	3	3_p03_E08	E8	16	1	0.751
1	3	3_p03_F08	F8	16	1	0.738
1	3	3_p03_G08	G8	16	1	0.848
1	3	3_p03_H08	H8	16	1	1.347
1	3	3_p03_A09	A9	16	1	0.320
1	3	3_p03_B09	B9	16	1	0.365
1	3	3_p03_C09	C9	16	1	0.954
1	3	3_p03_D09	D9	16	1	0.964
1	3	3_p03_E09	E9	16	1	0.633
1	3	3_p03_F09	F9	16	1	0.720
1	3	3_p03_G09	G9	16	1	1.042
1	3	3_p03_H09	H9	16	1	0.625
1	3	3_p03_A10	A10	16	1	0.321
1	3	3_p03_B10	B10	16	1	0.323
1	3	3_p03_C10	C10	16	1	0.834
1	3	3_p03_D10	D10	16	1	0.889
1	3	3_p03_E10	E10	16	1	0.849
1	3	3_p03_F10	F10	16	1	0.947
1	3	3_p03_G10	G10	16	1	1.030
1	3	3_p03_H10	H10	16	1	0.674
1	3	3_p03_A11	A11	16	1	0.423
1	3	3_p03_B11	B11	16	1	0.357
1	3	3_p03_C11	C11	16	1	0.959
1	3	3_p03_D11	D11	16	1	0.984
1	3	3_p03_E11	E11	16	1	0.960
1	3	3_p03_F11	F11	16	1	0.909
1	3	3_p03_G11	G11	16	1	1.026
1	3	3_p03_H11	H11	16	1	0.852
1	3	3_p03_A12	A12	16	1	0.308
1	3	3_p03_B12	B12	16	1	0.350
1	3	3_p03_C12	C12	16	1	0.969
1	3	3_p03_D12	D12	16	1	0.980
1	3	3_p03_E12	E12	16	1	0.979
1	3	3_p03_F12	F12	16	1	0.915
1	3	3_p03_G12	G12	16	1	1.021
1	3	3_p03_H12	H12	16	1	0.773
1	3	3_p04_A01	A1	16	2	0.772
1	3	3_p04_B01	B1	16	2	0.885
1	3	3_p04_C01	C1	16	2	0.607
1	3	3_p04_D01	D1	16	2	0.596
1	3	3_p04_E01	E1	16	2	0.925
1	3	3_p04_F01	F1	16	2	0.891
1	3	3_p04_G01	G1	16	2	0.925
1	3	3_p04_H01	H1	16	2	0.713
1	3	3_p04_A02	A2	16	2	0.918
1	3	3_p04_B02	B2	16	2	0.892
1	3	3_p04_C02	C2	16	2	0.731
1	3	3_p04_D02	D2	16	2	0.585
1	3	3_p04_E02	E2	16	2	0.894
1	3	3_p04_F02	F2	16	2	0.767
1	3	3_p04_G02	G2	16	2	0.843
1	3	3_p04_H02	H2	16	2	0.636
1	3	3_p04_A03	A3	16	2	0.833
1	3	3_p04_B03	B3	16	2	0.753
1	3	3_p04_C03	C3	16	2	0.494
1	3	3_p04_D03	D3	16	2	0.762
1	3	3_p04_E03	E3	16	2	0.898
1	3	3_p04_F03	F3	16	2	0.722
1	3	3_p04_G03	G3	16	2	0.931
1	3	3_p04_H03	H3	16	2	0.713
1	3	3_p04_A04	A4	16	2	0.948
1	3	3_p04_B04	B4	16	2	0.951
1	3	3_p04_C04	C4	16	2	0.983
1	3	3_p04_D04	D4	16	2	0.791
1	3	3_p04_E04	E4	16	2	0.887
1	3	3_p04_F04	F4	16	2	0.675
1	3	3_p04_G04	G4	16	2	0.843
1	3	3_p04_H04	H4	16	2	0.595
1	3	3_p04_A05	A5	16	2	0.949
1	3	3_p04_B05	B5	16	2	0.839
1	3	3_p04_C05	C5	16	2	0.769
1	3	3_p04_D05	D5	16	2	0.753
1	3	3_p04_E05	E5	16	2	0.458
1	3	3_p04_F05	F5	16	2	0.384
1	3	3_p04_G05	G5	16	2	0.871
1	3	3_p04_H05	H5	16	2	0.824
1	3	3_p04_A06	A6	16	2	1.000
1	3	3_p04_B06	B6	16	2	0.992
1	3	3_p04_C06	C6	16	2	0.797
1	3	3_p04_D06	D6	16	2	0.787
1	3	3_p04_E06	E6	16	2	0.326
1	3	3_p04_F06	F6	16	2	0.379
1	3	3_p04_G06	G6	16	2	0.930
1	3	3_p04_H06	H6	16	2	1.036
1	3	3_p04_A07	A7	16	2	0.993
1	3	3_p04_B07	B7	16	2	0.795
1	3	3_p04_C07	C7	16	2	0.709
1	3	3_p04_D07	D7	16	2	0.766
1	3	3_p04_E07	E7	16	2	0.759
1	3	3_p04_F07	F7	16	2	0.687
1	3	3_p04_G07	G7	16	2	0.982
1	3	3_p04_H07	H7	16	2	0.938
1	3	3_p04_A08	A8	16	2	1.040
1	3	3_p04_B08	B8	16	2	1.000
1	3	3_p04_C08	C8	16	2	0.774
1	3	3_p04_D08	D8	16	2	0.831
1	3	3_p04_E08	E8	16	2	0.699
1	3	3_p04_F08	F8	16	2	0.709
1	3	3_p04_G08	G8	16	2	0.968
1	3	3_p04_H08	H8	16	2	1.411
1	3	3_p04_A09	A9	16	2	0.325
1	3	3_p04_B09	B9	16	2	0.404
1	3	3_p04_C09	C9	16	2	0.953
1	3	3_p04_D09	D9	16	2	0.866
1	3	3_p04_E09	E9	16	2	0.694
1	3	3_p04_F09	F9	16	2	0.757
1	3	3_p04_G09	G9	16	2	1.035
1	3	3_p04_H09	H9	16	2	0.680
1	3	3_p04_A10	A10	16	2	0.306
1	3	3_p04_B10	B10	16	2	0.338
1	3	3_p04_C10	C10	16	2	0.855
1	3	3_p04_D10	D10	16	2	0.856
1	3	3_p04_E10	E10	16	2	0.988
1	3	3_p04_F10	F10	16	2	0.925
1	3	3_p04_G10	G10	16	2	0.996
1	3	3_p04_H10	H10	16	2	0.757
1	3	3_p04_A11	A11	16	2	0.422
1	3	3_p04_B11	B11	16	2	0.377
1	3	3_p04_C11	C11	16	2	1.016
