transfer	n_species	sample	well	strep_conc	replicate	OD
1	3	3_p01_A01	A1	0	1	0.956
1	3	3_p01_B01	B1	0	1	0.924
1	3	3_p01_C01	C1	0	1	0.751
1	3	3_p01_D01	D1	0	1	0.736
1	3	3_p01_E01	E1	0	1	0.963
1	3	3_p01_F01	F1	0	1	1.041
1	3	3_p01_G01	G1	0	1	0.934
1	3	3_p01_H01	H1	0	1	0.866
1	3	3_p01_A02	A2	0	1	0.955
1	3	3_p01_B02	B2	0	1	0.962
1	3	3_p01_C02	C2	0	1	1.335
1	3	3_p01_D02	D2	0	1	1.151
1	3	3_p01_E02	E2	0	1	0.908
1	3	3_p01_F02	F2	0	1	0.889
1	3	3_p01_G02	G2	0	1	0.917
1	3	3_p01_H02	H2	0	1	0.774
1	3	3_p01_A03	A3	0	1	0.933
1	3	3_p01_B03	B3	0	1	0.954
1	3	3_p01_C03	C3	0	1	0.540
1	3	3_p01_D03	D3	0	1	0.706
1	3	3_p01_E03	E3	0	1	1.004
1	3	3_p01_F03	F3	0	1	1.021
1	3	3_p01_G03	G3	0	1	1.093
1	3	3_p01_H03	H3	0	1	1.215
1	3	3_p01_A04	A4	0	1	0.988
1	3	3_p01_B04	B4	0	1	0.848
1	3	3_p01_C04	C4	0	1	1.101
1	3	3_p01_D04	D4	0	1	0.906
1	3	3_p01_E04	E4	0	1	0.873
1	3	3_p01_F04	F4	0	1	0.822
1	3	3_p01_G04	G4	0	1	0.874
1	3	3_p01_H04	H4	0	1	0.887
1	3	3_p01_A05	A5	0	1	0.999
1	3	3_p01_B05	B5	0	1	0.968
1	3	3_p01_C05	C5	0	1	0.725
1	3	3_p01_D05	D5	0	1	0.699
1	3	3_p01_E05	E5	0	1	0.971
1	3	3_p01_F05	F5	0	1	1.165
1	3	3_p01_G05	G5	0	1	0.960
1	3	3_p01_H05	H5	0	1	1.093
1	3	3_p01_A06	A6	0	1	0.967
1	3	3_p01_B06	B6	0	1	0.929
1	3	3_p01_C06	C6	0	1	0.609
1	3	3_p01_D06	D6	0	1	0.669
1	3	3_p01_E06	E6	0	1	1.005
1	3	3_p01_F06	F6	0	1	1.181
1	3	3_p01_G06	G6	0	1	0.954
1	3	3_p01_H06	H6	0	1	0.734
1	3	3_p01_A07	A7	0	1	0.952
1	3	3_p01_B07	B7	0	1	0.998
1	3	3_p01_C07	C7	0	1	0.586
1	3	3_p01_D07	D7	0	1	0.583
1	3	3_p01_E07	E7	0	1	0.782
1	3	3_p01_F07	F7	0	1	0.707
1	3	3_p01_G07	G7	0	1	0.944
1	3	3_p01_H07	H7	0	1	0.944
1	3	3_p01_A08	A8	0	1	0.946
1	3	3_p01_B08	B8	0	1	0.911
1	3	3_p01_C08	C8	0	1	0.626
1	3	3_p01_D08	D8	0	1	0.764
1	3	3_p01_E08	E8	0	1	0.946
1	3	3_p01_F08	F8	0	1	0.754
1	3	3_p01_G08	G8	0	1	0.791
1	3	3_p01_H08	H8	0	1	1.014
1	3	3_p01_A09	A9	0	1	0.930
1	3	3_p01_B09	B9	0	1	1.026
1	3	3_p01_C09	C9	0	1	0.983
1	3	3_p01_D09	D9	0	1	1.004
1	3	3_p01_E09	E9	0	1	0.736
1	3	3_p01_F09	F9	0	1	0.689
1	3	3_p01_G09	G9	0	1	0.958
1	3	3_p01_H09	H9	0	1	0.646
1	3	3_p01_A10	A10	0	1	0.925
1	3	3_p01_B10	B10	0	1	0.786
1	3	3_p01_C10	C10	0	1	0.941
1	3	3_p01_D10	D10	0	1	0.863
1	3	3_p01_E10	E10	0	1	1.011
1	3	3_p01_F10	F10	0	1	0.707
1	3	3_p01_G10	G10	0	1	0.893
1	3	3_p01_H10	H10	0	1	0.685
1	3	3_p01_A11	A11	0	1	0.984
1	3	3_p01_B11	B11	0	1	0.997
1	3	3_p01_C11	C11	0	1	1.032
1	3	3_p01_D11	D11	0	1	0.952
1	3	3_p01_E11	E11	0	1	0.991
1	3	3_p01_F11	F11	0	1	0.925
1	3	3_p01_G11	G11	0	1	0.722
1	3	3_p01_H11	H11	0	1	0.655
1	3	3_p01_A12	A12	0	1	1.011
1	3	3_p01_B12	B12	0	1	0.984
1	3	3_p01_C12	C12	0	1	1.000
1	3	3_p01_D12	D12	0	1	0.985
1	3	3_p01_E12	E12	0	1	1.015
1	3	3_p01_F12	F12	0	1	0.932
1	3	3_p01_G12	G12	0	1	0.947
1	3	3_p01_H12	H12	0	1	0.777
1	3	3_p02_A01	A1	0	2	0.858
1	3	3_p02_B01	B1	0	2	0.916
1	3	3_p02_C01	C1	0	2	0.637
1	3	3_p02_D01	D1	0	2	0.663
1	3	3_p02_E01	E1	0	2	0.918
1	3	3_p02_F01	F1	0	2	0.941
1	3	3_p02_G01	G1	0	2	0.876
1	3	3_p02_H01	H1	0	2	0.973
1	3	3_p02_A02	A2	0	2	0.871
1	3	3_p02_B02	B2	0	2	0.872
1	3	3_p02_C02	C2	0	2	0.766
1	3	3_p02_D02	D2	0	2	0.860
1	3	3_p02_E02	E2	0	2	0.863
1	3	3_p02_F02	F2	0	2	0.872
1	3	3_p02_G02	G2	0	2	0.855
1	3	3_p02_H02	H2	0	2	0.777
1	3	3_p02_A03	A3	0	2	0.887
1	3	3_p02_B03	B3	0	2	0.823
1	3	3_p02_C03	C3	0	2	0.522
1	3	3_p02_D03	D3	0	2	0.616
1	3	3_p02_E03	E3	0	2	0.925
1	3	3_p02_F03	F3	0	2	0.936
1	3	3_p02_G03	G3	0	2	0.890
1	3	3_p02_H03	H3	0	2	0.785
1	3	3_p02_A04	A4	0	2	0.910
1	3	3_p02_B04	B4	0	2	0.966
1	3	3_p02_C04	C4	0	2	0.805
1	3	3_p02_D04	D4	0	2	0.922
1	3	3_p02_E04	E4	0	2	0.871
1	3	3_p02_F04	F4	0	2	0.873
1	3	3_p02_G04	G4	0	2	0.876
1	3	3_p02_H04	H4	0	2	1.075
1	3	3_p02_A05	A5	0	2	0.982
1	3	3_p02_B05	B5	0	2	1.032
1	3	3_p02_C05	C5	0	2	0.715
1	3	3_p02_D05	D5	0	2	0.641
1	3	3_p02_E05	E5	0	2	0.892
1	3	3_p02_F05	F5	0	2	1.014
1	3	3_p02_G05	G5	0	2	0.887
1	3	3_p02_H05	H5	0	2	0.813
1	3	3_p02_A06	A6	0	2	1.002
1	3	3_p02_B06	B6	0	2	1.007
1	3	3_p02_C06	C6	0	2	0.635
1	3	3_p02_D06	D6	0	2	0.724
1	3	3_p02_E06	E6	0	2	0.904
1	3	3_p02_F06	F6	0	2	1.020
1	3	3_p02_G06	G6	0	2	0.893
1	3	3_p02_H06	H6	0	2	0.637
1	3	3_p02_A07	A7	0	2	0.938
1	3	3_p02_B07	B7	0	2	0.951
1	3	3_p02_C07	C7	0	2	0.664
1	3	3_p02_D07	D7	0	2	0.739
1	3	3_p02_E07	E7	0	2	0.637
1	3	3_p02_F07	F7	0	2	0.641
1	3	3_p02_G07	G7	0	2	0.903
1	3	3_p02_H07	H7	0	2	1.184
1	3	3_p02_A08	A8	0	2	1.021
1	3	3_p02_B08	B8	0	2	0.916
1	3	3_p02_C08	C8	0	2	0.632
1	3	3_p02_D08	D8	0	2	0.814
1	3	3_p02_E08	E8	0	2	0.774
1	3	3_p02_F08	F8	0	2	0.804
1	3	3_p02_G08	G8	0	2	0.871
1	3	3_p02_H08	H8	0	2	0.866
1	3	3_p02_A09	A9	0	2	0.858
1	3	3_p02_B09	B9	0	2	0.962
1	3	3_p02_C09	C9	0	2	0.893
1	3	3_p02_D09	D9	0	2	0.896
1	3	3_p02_E09	E9	0	2	0.661
1	3	3_p02_F09	F9	0	2	0.598
1	3	3_p02_G09	G9	0	2	0.919
1	3	3_p02_H09	H9	0	2	0.604
1	3	3_p02_A10	A10	0	2	0.918
1	3	3_p02_B10	B10	0	2	0.800
1	3	3_p02_C10	C10	0	2	0.751
1	3	3_p02_D10	D10	0	2	0.765
1	3	3_p02_E10	E10	0	2	1.113
1	3	3_p02_F10	F10	0	2	0.940
1	3	3_p02_G10	G10	0	2	0.952
1	3	3_p02_H10	H10	0	2	0.650
1	3	3_p02_A11	A11	0	2	0.875
1	3	3_p02_B11	B11	0	2	0.823
1	3	3_p02_C11	C11	0	2	0.922
1	3	3_p02_D11	D11	0	2	0.862
1	3	3_p02_E11	E11	0	2	0.917
