,1,2,3,4,5,6,7,8,9,10,11,12
A,0.284,0.286,0.314,0.306,0.300,0.293,0.335,0.292,0.219,0.240,0.239,0.250
B,0.258,0.261,0.312,0.275,0.260,0.269,0.308,0.278,0.265,0.270,0.268,0.248
C,0.273,0.210,0.320,0.291,0.223,0.210,0.266,0.276,0.336,0.318,0.330,0.345
D,0.276,0.283,0.256,0.280,0.286,0.285,0.316,0.290,0.321,0.302,0.312,0.310
E,0.267,0.269,0.302,0.286,0.221,0.232,0.224,0.219,0.251,0.297,0.331,0.326
F,0.279,0.281,0.332,0.265,0.269,0.267,0.292,0.286,0.266,0.276,0.323,0.312
G,0.278,0.320,0.296,0.304,0.302,0.333,0.304,0.329,0.257,0.338,0.312,0.348
H,0.211,0.239,0.218,0.242,0.292,0.322,0.294,0.316,0.221,0.249,0.299,0.326



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



