,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.040,0.038,0.039,0.282,0.281,0.256,0.279,0.290,0.324,0.248,0.308
B,0.039,0.039,0.039,0.040,0.282,0.254,0.274,0.263,0.277,0.308,0.249,0.312
C,0.255,0.322,0.253,0.325,0.278,0.269,0.275,0.268,0.211,0.293,0.241,0.313
D,0.256,0.319,0.304,0.331,0.255,0.272,0.274,0.276,0.210,0.300,0.247,0.318
E,0.272,0.303,0.282,0.275,0.275,0.274,0.288,0.283,0.265,0.325,0.242,0.308
F,0.264,0.282,0.281,0.294,0.270,0.272,0.289,0.281,0.291,0.308,0.245,0.276
G,0.039,0.300,0.039,0.291,0.041,0.039,0.040,0.042,0.041,0.040,0.040,0.039
H,0.039,0.040,0.039,0.041,0.039,0.041,0.042,0.040,0.041,0.041,0.040,0.043



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



