,1,2,3,4,5,6,7,8,9,10,11,12
A,0.042,0.040,0.043,0.044,1.030,1.047,1.015,1.103,0.917,1.007,1.013,0.853
B,0.040,0.042,0.043,0.044,1.022,0.981,1.033,0.955,0.868,0.858,0.841,0.948
C,1.128,0.900,0.794,0.937,1.012,0.924,0.953,0.881,0.836,0.897,0.868,0.854
D,0.876,0.635,0.833,0.791,1.032,0.994,0.943,0.976,0.820,0.826,0.823,0.891
E,0.935,0.826,0.942,0.954,0.934,1.026,0.983,0.934,0.959,0.919,1.029,0.965
F,0.921,0.930,0.906,0.933,0.933,0.955,0.895,0.894,0.847,0.837,0.896,0.850
G,0.041,0.041,0.043,0.040,0.041,0.041,0.042,0.043,0.042,0.044,0.043,0.044
H,0.810,0.878,0.537,0.464,0.736,0.723,0.746,0.717,0.713,0.701,0.575,0.577



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



