,1,2,3,4,5,6,7,8,9,10,11,12
A,0.044,0.044,0.045,0.044,0.983,0.917,0.941,0.939,0.766,1.045,0.753,0.775
B,0.043,0.045,0.047,0.045,0.894,0.898,1.001,0.917,0.653,0.848,0.734,0.769
C,0.760,0.807,0.691,0.736,0.917,0.857,1.020,0.942,0.570,0.704,0.672,0.698
D,0.726,1.168,0.683,0.800,0.964,1.014,1.000,0.922,0.761,0.757,0.722,0.769
E,0.923,1.183,0.952,0.936,0.958,1.002,0.878,0.976,0.612,0.772,0.614,0.831
F,0.894,0.841,0.984,0.698,0.982,0.943,0.937,0.923,0.802,0.952,0.763,1.238
G,0.046,0.044,0.049,0.044,0.044,0.045,0.046,0.048,0.049,0.051,0.048,0.042
H,0.043,0.044,0.044,0.044,0.044,0.045,0.043,0.044,0.048,0.043,0.046,0.043



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



