,1,2,3,4,5,6,7,8,9,10,11,12
A,0.043,0.041,0.041,0.045,0.887,0.921,0.754,0.864,0.667,0.834,0.707,0.690
B,0.040,0.042,0.043,0.046,0.763,0.923,0.793,0.781,0.685,0.743,0.705,0.828
C,0.691,0.834,0.645,0.801,0.654,0.829,0.877,0.816,0.668,0.701,0.703,0.698
D,0.709,0.897,0.599,0.772,0.842,0.887,0.901,0.832,0.631,0.688,0.712,0.683
E,0.898,0.944,0.815,0.957,0.850,0.885,0.814,0.834,0.563,0.811,0.673,0.978
F,0.841,0.925,0.886,0.902,0.937,0.899,0.791,0.756,0.585,0.796,0.692,0.833
G,0.043,0.043,0.044,0.042,0.042,0.041,0.043,0.043,0.045,0.044,0.045,0.046
H,0.678,0.711,0.042,0.043,0.042,0.042,0.040,0.043,0.047,0.045,0.044,0.044



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



