,1,2,3,4,5,6,7,8,9,10,11,12
A,0.916,0.932,0.804,1.126,0.972,0.935,0.899,0.991,0.301,0.311,0.265,0.288
B,0.908,0.716,0.818,0.969,0.961,0.992,0.938,0.764,0.391,0.341,0.363,0.351
C,0.744,0.720,0.533,1.004,0.790,0.699,0.781,0.782,0.843,0.837,0.846,0.937
D,0.781,0.731,0.727,0.881,0.750,0.741,0.744,0.789,0.790,0.867,0.815,0.851
E,0.909,0.873,0.775,0.976,0.309,0.339,0.778,0.803,0.718,1.021,0.729,0.853
F,0.819,0.836,0.624,1.016,0.374,0.392,0.774,0.784,0.755,1.118,0.868,0.842
G,0.913,0.816,0.911,0.910,0.948,0.885,0.987,1.021,0.967,0.951,1.005,0.826
H,0.808,0.697,0.806,0.735,0.855,0.766,1.015,0.929,0.635,0.651,0.806,0.789



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



