,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.041,0.041,0.042,0.348,0.313,0.312,0.313,0.376,0.344,0.358,0.322
B,0.044,0.042,0.041,0.043,0.299,0.285,0.302,0.279,0.352,0.327,0.348,0.310
C,0.353,0.335,0.345,0.302,0.306,0.287,0.299,0.298,0.366,0.330,0.373,0.321
D,0.331,0.315,0.330,0.283,0.288,0.291,0.283,0.292,0.352,0.334,0.352,0.325
E,0.317,0.293,0.293,0.286,0.326,0.285,0.312,0.315,0.368,0.345,0.380,0.334
F,0.303,0.280,0.289,0.305,0.281,0.284,0.310,0.303,0.346,0.316,0.350,0.317
G,0.040,0.042,0.042,0.039,0.042,0.041,0.042,0.046,0.045,0.045,0.046,0.047
H,0.290,0.289,0.285,0.297,0.266,0.279,0.269,0.275,0.254,0.264,0.276,0.276



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



