,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.041,0.040,0.044,0.300,0.294,0.301,0.294,0.251,0.334,0.272,0.297
B,0.043,0.042,0.042,0.042,0.303,0.297,0.304,0.285,0.315,0.311,0.309,0.300
C,0.230,0.334,0.247,0.310,0.293,0.289,0.302,0.284,0.262,0.312,0.266,0.299
D,0.298,0.292,0.295,0.297,0.290,0.281,0.284,0.296,0.310,0.323,0.260,0.327
E,0.317,0.300,0.299,0.319,0.322,0.287,0.317,0.321,0.256,0.337,0.264,0.330
F,0.290,0.297,0.296,0.340,0.288,0.291,0.330,0.317,0.321,0.326,0.273,0.312
G,0.043,0.040,0.043,0.041,0.041,0.040,0.041,0.044,0.043,0.042,0.042,0.041
H,0.041,0.042,0.043,0.043,0.039,0.041,0.041,0.045,0.045,0.043,0.044,0.059



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



