,1,2,3,4,5,6,7,8,9,10,11,12
A,0.318,0.290,0.339,0.314,0.301,0.319,0.320,0.305,0.240,0.286,0.268,0.310
B,0.327,0.332,0.367,0.325,0.325,0.319,0.332,0.321,0.287,0.279,0.272,0.266
C,0.312,0.238,0.273,0.319,0.260,0.233,0.276,0.306,0.375,0.360,0.369,0.346
D,0.337,0.307,0.275,0.299,0.351,0.300,0.273,0.236,0.347,0.342,0.356,0.349
E,0.319,0.321,0.320,0.340,0.293,0.290,0.338,0.296,0.277,0.293,0.349,0.344
F,0.315,0.317,0.328,0.321,0.306,0.298,0.350,0.297,0.334,0.296,0.371,0.337
G,0.306,0.322,0.369,0.314,0.309,0.327,0.306,0.313,0.301,0.319,0.314,0.294
H,0.275,0.289,0.275,0.269,0.336,0.278,0.331,0.336,0.260,0.284,0.345,0.319



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



