,1,2,3,4,5,6,7,8,9,10,11,12
A,0.040,0.042,0.041,0.041,0.245,0.282,0.294,0.304,0.219,0.284,0.244,0.307
B,0.045,0.041,0.040,0.041,0.269,0.292,0.283,0.308,0.283,0.295,0.317,0.320
C,0.217,0.300,0.260,0.317,0.244,0.278,0.282,0.290,0.212,0.289,0.188,0.319
D,0.281,0.293,0.250,0.317,0.243,0.276,0.282,0.306,0.285,0.302,0.316,0.329
E,0.277,0.302,0.283,0.312,0.257,0.280,0.306,0.311,0.219,0.304,0.262,0.324
F,0.253,0.279,0.284,0.300,0.251,0.293,0.307,0.309,0.219,0.280,0.260,0.312
G,0.039,0.040,0.040,0.039,0.042,0.040,0.041,0.044,0.042,0.041,0.041,0.041
H,0.217,0.219,0.040,0.042,0.039,0.042,0.043,0.039,0.043,0.042,0.042,0.048



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



