,1,2,3,4,5,6,7,8,9,10,11,12
A,0.273,0.295,0.339,0.347,0.310,0.305,0.342,0.350,0.250,0.259,0.256,0.253
B,0.292,0.297,0.337,0.296,0.304,0.301,0.346,0.322,0.312,0.298,0.317,0.295
C,0.329,0.235,0.279,0.352,0.243,0.240,0.291,0.341,0.377,0.359,0.366,0.342
D,0.294,0.306,0.274,0.297,0.323,0.319,0.279,0.337,0.361,0.341,0.346,0.323
E,0.274,0.290,0.319,0.321,0.273,0.256,0.242,0.238,0.289,0.356,0.360,0.340
F,0.307,0.311,0.346,0.307,0.320,0.285,0.292,0.308,0.348,0.330,0.346,0.326
G,0.280,0.328,0.277,0.334,0.314,0.348,0.320,0.358,0.296,0.331,0.330,0.342
H,0.220,0.275,0.272,0.274,0.325,0.344,0.322,0.344,0.233,0.280,0.327,0.346



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



