transfers	n_species	sample	well	strep_conc	replicate	OD
1	8	com_01	A1	0	1	0.957
1	8	com_02	B1	0	1	0.938
1	8	com_03	C1	0	1	1.021
1	8	com_04	D1	0	1	0.893
1	8	com_05	E1	0	1	0.925
1	8	com_06	F1	0	1	0.866
1	8	com_07	G1	0	1	0.905
1	8	com_08	H1	0	1	0.924
1	8	com_09	A2	0	1	0.935
1	8	com_10	B2	0	1	0.978
1	8	com_11	C2	0	1	1.048
1	8	com_12	D2	0	1	0.960
1	8	com_13	E2	0	1	0.965
1	8	com_14	F2	0	1	0.870
1	8	com_15	G2	0	1	0.968
1	8	com_16	H2	0	1	0.966
1	8	com_17	A3	0	1	0.967
1	8	neg_control	B3	0		0.040
1	8	neg_control	C3	0		0.040
1	8	neg_control	D3	0		0.041
1	8	neg_control	E3	0		0.041
1	8	neg_control	F3	0		0.041
1	3	3_p01_c01	G3	0	1	0.650
1	3	3_p02_c01	H3	0	2	0.668
1	8	com_01	A4	16	1	1.050
1	8	com_02	B4	16	1	1.016
1	8	com_03	C4	16	1	1.084
1	8	com_04	D4	16	1	0.939
1	8	com_05	E4	16	1	1.057
1	8	com_06	F4	16	1	0.916
1	8	com_07	G4	16	1	0.947
1	8	com_08	H4	16	1	0.942
1	8	com_09	A5	16	1	1.006
1	8	com_10	B5	16	1	0.915
1	8	com_11	C5	16	1	1.056
1	8	com_12	D5	16	1	0.978
1	8	com_13	E5	16	1	0.990
1	8	com_14	F5	16	1	0.888
1	8	com_15	G5	16	1	0.902
1	8	com_16	H5	16	1	0.907
1	8	com_17	A6	16	1	1.000
1	8	neg_control	B6	16		0.038
1	8	neg_control	C6	16		0.039
1	8	neg_control	D6	16		0.039
1	8	neg_control	E6	16		0.040
1	8	neg_control	F6	16		0.040
1	3	3_p03_c01	G6	16	1	0.661
1	3	3_p04_c01	H6	16	2	0.648
1	8	com_01	A7	64	1	1.041
1	8	com_02	B7	64	1	1.002
1	8	com_03	C7	64	1	1.089
1	8	com_04	D7	64	1	0.969
1	8	com_05	E7	64	1	0.997
1	8	com_06	F7	64	1	0.788
1	8	com_07	G7	64	1	1.051
1	8	com_08	H7	64	1	0.967
1	8	com_09	A8	64	1	1.093
1	8	com_10	B8	64	1	1.006
1	8	com_11	C8	64	1	0.998
1	8	com_12	D8	64	1	0.941
1	8	com_13	E8	64	1	1.041
1	8	com_14	F8	64	1	0.989
1	8	com_15	G8	64	1	1.023
1	8	com_16	H8	64	1	0.936
1	8	com_17	A9	64	1	1.049
1	8	neg_control	B9	64		0.041
