plate_name	plate_number	bioscreen_well	replicate	sp_hist	strep_conc	sp_filtrate
bioscreen_strep_01	1	1	1	ANC_0403	0	NA
bioscreen_strep_01	1	2	2	ANC_0403	0	NA
bioscreen_strep_01	1	3	3	ANC_0403	0	NA
bioscreen_strep_01	1	4	4	ANC_0403	0	NA
bioscreen_strep_01	1	5	5	ANC_0403	0	NA
bioscreen_strep_01	1	6	1	ANC_1287	0	NA
bioscreen_strep_01	1	7	2	ANC_1287	0	NA
bioscreen_strep_01	1	8	3	ANC_1287	0	NA
bioscreen_strep_01	1	9	4	ANC_1287	0	NA
bioscreen_strep_01	1	10	5	ANC_1287	0	NA
bioscreen_strep_01	1	11	1	ANC_1896	0	NA
bioscreen_strep_01	1	12	2	ANC_1896	0	NA
bioscreen_strep_01	1	13	3	ANC_1896	0	NA
bioscreen_strep_01	1	14	4	ANC_1896	0	NA
bioscreen_strep_01	1	15	5	ANC_1896	0	NA
bioscreen_strep_01	1	16	1	ANC_1977	0	NA
bioscreen_strep_01	1	17	2	ANC_1977	0	NA
bioscreen_strep_01	1	18	3	ANC_1977	0	NA
bioscreen_strep_01	1	19	4	ANC_1977	0	NA
bioscreen_strep_01	1	20	5	ANC_1977	0	NA
bioscreen_strep_01	1	21	1	ANC_0403	4	NA
bioscreen_strep_01	1	22	2	ANC_0403	4	NA
bioscreen_strep_01	1	23	3	ANC_0403	4	NA
bioscreen_strep_01	1	24	4	ANC_0403	4	NA
bioscreen_strep_01	1	25	5	ANC_0403	4	NA
bioscreen_strep_01	1	26	1	ANC_1287	4	NA
bioscreen_strep_01	1	27	2	ANC_1287	4	NA
bioscreen_strep_01	1	28	3	ANC_1287	4	NA
bioscreen_strep_01	1	29	4	ANC_1287	4	NA
bioscreen_strep_01	1	30	5	ANC_1287	4	NA
bioscreen_strep_01	1	31	1	ANC_1896	4	NA
bioscreen_strep_01	1	32	2	ANC_1896	4	NA
bioscreen_strep_01	1	33	3	ANC_1896	4	NA
bioscreen_strep_01	1	34	4	ANC_1896	4	NA
bioscreen_strep_01	1	35	5	ANC_1896	4	NA
bioscreen_strep_01	1	36	1	ANC_1977	4	NA
bioscreen_strep_01	1	37	2	ANC_1977	4	NA
bioscreen_strep_01	1	38	3	ANC_1977	4	NA
bioscreen_strep_01	1	39	4	ANC_1977	4	NA
bioscreen_strep_01	1	40	5	ANC_1977	4	NA
