sample	strainID	evo_hist	count_correct	count_correct_thresh	f	target_f	replicate	strep_conc	transfers	n_species	community_type	plate_well
T01_1_0	HAMBI_1287	anc	4923	4923	0.4128648104662865	0.1	1	0	8	3	experiment	01E
T01_1_0	HAMBI_0403	anc	4123	4123	0.3457732304595773	0.8	1	0	8	3	experiment	01E
T01_1_0	HAMBI_1896	anc	2878	2878	0.24136195907413618	0.1	1	0	8	3	experiment	01E
T01_2_0	HAMBI_1287	anc	6344	6344	0.46558050785263466	0.1	2	0	8	3	experiment	01E
T01_2_0	HAMBI_0403	anc	4040	4040	0.2964920005871129	0.8	2	0	8	3	experiment	01E
T01_2_0	HAMBI_1896	anc	3242	3242	0.23792749156025245	0.1	2	0	8	3	experiment	01E
T01_s_0	HAMBI_0403	anc	5880	5880	0.7075812274368231	0.8	1	NA	0	3	masterplate	01E
T01_s_0	HAMBI_1287	anc	1160	1160	0.13959085439229843	0.1	1	NA	0	3	masterplate	01E
T01_s_0	HAMBI_1896	anc	1270	1270	0.15282791817087846	0.1	1	NA	0	3	masterplate	01E
T02_1_0	HAMBI_1287	anc	5385	5385	0.46659734858331164	0.8	1	0	8	3	experiment	05A
T02_1_0	HAMBI_1896	anc	6156	6156	0.5334026514166883	0.1	1	0	8	3	experiment	05A
T02_1_0	HAMBI_0403	anc	1	0	0	0.1	1	0	8	3	experiment	05A
T02_2_0	HAMBI_1287	anc	9465	9465	0.6291963039287376	0.8	2	0	8	3	experiment	05A
T02_2_0	HAMBI_1896	anc	5578	5578	0.3708036960712624	0.1	2	0	8	3	experiment	05A
T02_2_0	HAMBI_0403	anc	5	0	0	0.1	2	0	8	3	experiment	05A
T02_s_0	HAMBI_1287	anc	7831	7831	0.6812527185732927	0.8	1	NA	0	3	masterplate	05A
T02_s_0	HAMBI_0403	anc	1349	1349	0.11735537190082644	0.1	1	NA	0	3	masterplate	05A
T02_s_0	HAMBI_1896	anc	2315	2315	0.20139190952588082	0.1	1	NA	0	3	masterplate	05A
T03_1_0	HAMBI_1287	anc	6283	6283	0.5924005280030171	0.1	1	0	8	3	experiment	01A
T03_1_0	HAMBI_1896	anc	4323	4323	0.4075994719969828	0.8	1	0	8	3	experiment	01A
T03_1_0	HAMBI_0403	anc	3	0	0	0.1	1	0	8	3	experiment	01A
T03_2_0	HAMBI_1287	anc	8090	8090	0.5315374507227333	0.1	2	0	8	3	experiment	01A
T03_2_0	HAMBI_1896	anc	7130	7130	0.46846254927726677	0.8	2	0	8	3	experiment	01A
T03_2_0	HAMBI_0403	anc	32	0	0	0.1	2	0	8	3	experiment	01A
T03_s_0	HAMBI_1896	anc	8334	8334	0.8002688688304206	0.8	1	NA	0	3	masterplate	01A
T03_s_0	HAMBI_1287	anc	1116	1116	0.1071634338390628	0.1	1	NA	0	3	masterplate	01A
T03_s_0	HAMBI_0403	anc	964	964	0.09256769733051662	0.1	1	NA	0	3	masterplate	01A
T04_1_0	HAMBI_1287	anc	5554	5554	1	0.1	1	0	8	3	experiment	01F
T04_1_0	HAMBI_1896	anc	16	0	0	0.1	1	0	8	3	experiment	01F
T04_1_0	HAMBI_0403	evo	4	0	0	0.8	1	0	8	3	experiment	01F
T04_2_0	HAMBI_1287	anc	3550	3550	0.4541384162722272	0.1	2	0	8	3	experiment	01F
T04_2_0	HAMBI_0403	evo	3193	3193	0.4084687220161187	0.8	2	0	8	3	experiment	01F
T04_2_0	HAMBI_1896	anc	1074	1074	0.13739286171165407	0.1	2	0	8	3	experiment	01F
T04_s_0	HAMBI_0403	evo	4260	4260	0.7744046536993274	0.8	1	NA	0	3	masterplate	01F
T04_s_0	HAMBI_1287	anc	404	404	0.07344119251045264	0.1	1	NA	0	3	masterplate	01F
T04_s_0	HAMBI_1896	anc	837	837	0.15215415379021996	0.1	1	NA	0	3	masterplate	01F
T05_1_0	HAMBI_1287	anc	5413	5413	0.5401656521305259	0.8	1	0	8	3	experiment	05B
T05_1_0	HAMBI_1896	anc	4608	4608	0.4598343478694741	0.1	1	0	8	3	experiment	05B
T05_1_0	HAMBI_0403	evo	1	0	0	0.1	1	0	8	3	experiment	05B
T05_2_0	HAMBI_1287	anc	7138	7138	0.6946282600233554	0.8	2	0	8	3	experiment	05B
T05_2_0	HAMBI_1896	anc	3138	3138	0.30537173997664463	0.1	2	0	8	3	experiment	05B
T05_2_0	HAMBI_0403	evo	7	0	0	0.1	2	0	8	3	experiment	05B
T05_s_0	HAMBI_1287	anc	8147	8147	0.6469467164297625	0.8	1	NA	0	3	masterplate	05B
T05_s_0	HAMBI_0403	evo	1709	1709	0.13571031525450647	0.1	1	NA	0	3	masterplate	05B
T05_s_0	HAMBI_1896	anc	2737	2737	0.21734296831573097	0.1	1	NA	0	3	masterplate	05B
T06_1_0	HAMBI_1287	anc	7557	7557	0.6038836503116509	0.1	1	0	8	3	experiment	01B
T06_1_0	HAMBI_1896	anc	4957	4957	0.396116349688349	0.8	1	0	8	3	experiment	01B
T06_1_0	HAMBI_0403	evo	6	0	0	0.1	1	0	8	3	experiment	01B
T06_2_0	HAMBI_1287	anc	6906	6906	0.6888090963494913	0.1	2	0	8	3	experiment	01B
T06_2_0	HAMBI_1896	anc	3120	3120	0.31119090365050867	0.8	2	0	8	3	experiment	01B
T06_2_0	HAMBI_0403	evo	29	0	0	0.1	2	0	8	3	experiment	01B
T06_s_0	HAMBI_1896	anc	9571	9571	0.8074749008689783	0.8	1	NA	0	3	masterplate	01B
T06_s_0	HAMBI_0403	evo	1227	1227	0.1035180966843837	0.1	1	NA	0	3	masterplate	01B
T06_s_0	HAMBI_1287	anc	1055	1055	0.08900700244663798	0.1	1	NA	0	3	masterplate	01B
T07_s_0	HAMBI_0403	anc	8051	8051	0.7664699162223915	0.8	1	NA	0	3	masterplate	07E
