sample	strainID	f_metacal
P01_1_0	HAMBI_1977	0.9377853332367303
P01_1_0	HAMBI_0403	0.062214666763269755
P01_1_16	HAMBI_1977	0.9664707918964398
P01_1_16	HAMBI_0403	0.033529208103560325
P01_1_64	HAMBI_1977	0.0012325986974053146
P01_1_64	HAMBI_0403	0.9987674013025947
P01_2_0	HAMBI_1977	0.9620011875353154
P01_2_0	HAMBI_0403	0.03799881246468455
P01_2_16	HAMBI_1977	0.9733083896608401
P01_2_16	HAMBI_0403	0.026691610339159972
P01_2_64	HAMBI_1977	8.47816713996153e-4
P01_2_64	HAMBI_0403	0.9991521832860037
P01_s_0	HAMBI_1977	0.036090096924110346
P01_s_0	HAMBI_0403	0.9639099030758896
P02_1_0	HAMBI_1977	0.9424603206806585
P02_1_0	HAMBI_0403	0.05753967931934146
P02_1_16	HAMBI_1977	0.9563744310472945
P02_1_16	HAMBI_0403	0.04362556895270548
P02_1_256	HAMBI_1977	0.999704667541626
P02_1_256	HAMBI_0403	2.9533245837397515e-4
P02_1_64	HAMBI_1977	0.9957180875691106
P02_1_64	HAMBI_0403	0.00428191243088935
P02_2_0	HAMBI_1977	0.952870336813113
P02_2_0	HAMBI_0403	0.047129663186886946
P02_2_16	HAMBI_1977	0.9576615506857629
P02_2_16	HAMBI_0403	0.04233844931423715
P02_2_256	HAMBI_1977	0.9995645296714297
P02_2_256	HAMBI_0403	4.3547032857036225e-4
P02_2_64	HAMBI_1977	0.9976659119089498
P02_2_64	HAMBI_0403	0.0023340880910501247
P03_1_0	HAMBI_0403	0.6436209840056188
P03_1_0	HAMBI_1896	0.35637901599438115
P03_1_16	HAMBI_0403	0.5911755348183141
P03_1_16	HAMBI_1896	0.40882446518168597
P03_1_256	HAMBI_0403	0.0024523317794862306
P03_1_256	HAMBI_1896	0.9975476682205137
P03_1_64	HAMBI_0403	0.5935870959548396
P03_1_64	HAMBI_1896	0.40641290404516045
P03_2_0	HAMBI_0403	0.6548740720266755
P03_2_0	HAMBI_1896	0.3451259279733245
P03_2_16	HAMBI_0403	0.5973056647096939
P03_2_16	HAMBI_1896	0.40269433529030596
P03_2_256	HAMBI_0403	0.0031890682941383103
P03_2_256	HAMBI_1896	0.9968109317058618
P03_2_64	HAMBI_0403	0.13197327266843553
P03_2_64	HAMBI_1896	0.8680267273315644
P03_s_0	HAMBI_0403	0.9513825380441088
P03_s_0	HAMBI_1896	0.04861746195589125
P04_1_0	HAMBI_0403	0.70598179978928
P04_1_0	HAMBI_1896	0.29401820021072
P04_1_16	HAMBI_0403	0.7048939798905361
P04_1_16	HAMBI_1896	0.29510602010946385
P04_1_256	HAMBI_0403	0.0016074606544826382
P04_1_256	HAMBI_1896	0.9983925393455174
P04_1_64	HAMBI_0403	0.313873286618949
P04_1_64	HAMBI_1896	0.686126713381051
P04_2_0	HAMBI_0403	0.7007626282633042
P04_2_0	HAMBI_1896	0.29923737173669585
P04_2_16	HAMBI_0403	0.734961122928168
P04_2_16	HAMBI_1896	0.2650388770718321
P04_2_256	HAMBI_0403	0.0018063144747903041
P04_2_256	HAMBI_1896	0.9981936855252097
P04_2_64	HAMBI_0403	0.0068011818578962
P04_2_64	HAMBI_1896	0.9931988181421038
P04_s_0	HAMBI_0403	0.9582897817620649
