sample	strainID	f_metacal
T01_1_0	HAMBI_1287	0.35841045958440015
T01_1_0	HAMBI_0403	0.5089878581516387
T01_1_0	HAMBI_1896	0.13260168226396113
T01_2_0	HAMBI_1287	0.416101830988878
T01_2_0	HAMBI_0403	0.44932549944952943
T01_2_0	HAMBI_1896	0.13457266956159256
T01_s_0	HAMBI_1287	0.0971987061837588
T01_s_0	HAMBI_0403	0.8354550124463311
T01_s_0	HAMBI_1896	0.06734628136991004
T02_1_0	HAMBI_1287	0.5801189103155107
T02_1_0	HAMBI_0403	1.8267308488955662e-4
T02_1_0	HAMBI_1896	0.41969841659959967
T02_2_0	HAMBI_1287	0.7278770649130507
T02_2_0	HAMBI_0403	6.520046142990177e-4
T02_2_0	HAMBI_1896	0.27147093047265036
T02_s_0	HAMBI_1287	0.6760455516318363
T02_s_0	HAMBI_0403	0.19747582336681652
T02_s_0	HAMBI_1896	0.1264786250013472
T03_1_0	HAMBI_1287	0.6962591170513539
T03_1_0	HAMBI_0403	5.637263536129375e-4
T03_1_0	HAMBI_1896	0.30317715659503314
T03_2_0	HAMBI_1287	0.6391946766629144
T03_2_0	HAMBI_0403	0.004287240574496555
T03_2_0	HAMBI_1896	0.356518082762589
T03_s_0	HAMBI_1287	0.13906740696464392
T03_s_0	HAMBI_0403	0.20369550447770468
T03_s_0	HAMBI_1896	0.6572370885576514
T04_1_0	HAMBI_1287	0.996964864112603
T04_1_0	HAMBI_0403	0.0012175231195976357
T04_1_0	HAMBI_1896	0.0018176127677993151
T04_2_0	HAMBI_1287	0.3681049255193036
T04_2_0	HAMBI_0403	0.561416848852273
T04_2_0	HAMBI_1896	0.07047822562842333
T04_s_0	HAMBI_1287	0.04952625490888093
T04_s_0	HAMBI_0403	0.8855375278028189
T04_s_0	HAMBI_1896	0.06493621728830024
T05_1_0	HAMBI_1287	0.6497487183927099
T05_1_0	HAMBI_0403	2.035404135314173e-4
T05_1_0	HAMBI_1896	0.3500477411937586
T05_2_0	HAMBI_1287	0.7813232597723354
T05_2_0	HAMBI_0403	0.001299258293758657
T05_2_0	HAMBI_1896	0.21737748193390588
T05_s_0	HAMBI_1287	0.6376276394455741
T05_s_0	HAMBI_0403	0.22680609893724463
T05_s_0	HAMBI_1896	0.13556626161718127
T06_1_0	HAMBI_1287	0.7059806534348411
T06_1_0	HAMBI_0403	9.504688236618094e-4
T06_1_0	HAMBI_1896	0.2930688777414972
T06_2_0	HAMBI_1287	0.773374527381962
T06_2_0	HAMBI_0403	0.005506866339634675
T06_2_0	HAMBI_1896	0.22111860627840335
T06_s_0	HAMBI_1287	0.11476502738000621
T06_s_0	HAMBI_0403	0.2263314552388323
T06_s_0	HAMBI_1896	0.6589035173811615
T07_s_0	HAMBI_1287	0.03819578509525008
T07_s_0	HAMBI_0403	0.8853056198586036
T07_s_0	HAMBI_1896	0.07649859504614642
T08_s_0	HAMBI_1287	0.6050201454372397
T08_s_0	HAMBI_0403	0.2788204353637821
T08_s_0	HAMBI_1896	0.11615941919897815
T09_s_0	HAMBI_1287	0.12066608719946198
T09_s_0	HAMBI_0403	0.24962026694734607
T09_s_0	HAMBI_1896	0.629713645853192
T10_s_0	HAMBI_1287	0.053025108344526756
T10_s_0	HAMBI_0403	0.8657684810603901
T10_s_0	HAMBI_1896	0.08120641059508328
T11_s_0	HAMBI_1287	0.2414948199065177
T11_s_0	HAMBI_0403	0.42665067680070945
T11_s_0	HAMBI_1896	0.3318545032927729
T12_s_0	HAMBI_1287	0.09546077147670408
T12_s_0	HAMBI_0403	0.2141724523202655
T12_s_0	HAMBI_1896	0.6903667762030304
T13_1_0	HAMBI_1287	0.9387369965912105
T13_1_0	HAMBI_0403	0.001115288259857706
T13_1_0	HAMBI_1896	0.06014771514893182
T13_2_0	HAMBI_1287	0.9435735189768196
T13_2_0	HAMBI_0403	0.008511562101602844
T13_2_0	HAMBI_1896	0.04791491892157752
T13_s_0	HAMBI_1287	0.05041950312268104
T13_s_0	HAMBI_0403	0.8827125499928055
T13_s_0	HAMBI_1896	0.06686794688451342
T14_1_0	HAMBI_1287	0.9566440068782764
T14_1_0	HAMBI_0403	7.596158663811209e-4
T14_1_0	HAMBI_1896	0.04259637725534238
T14_2_0	HAMBI_1287	0.9444556891920446
T14_2_0	HAMBI_0403	0.003038884681296859
T14_2_0	HAMBI_1896	0.05250542612665847
T14_s_0	HAMBI_1287	0.6353034610922761
T14_s_0	HAMBI_0403	0.21314055976641716
T14_s_0	HAMBI_1896	0.15155597914130675
T15_1_0	HAMBI_1287	0.9120276632186456
T15_1_0	HAMBI_0403	0.001627328748749298
T15_1_0	HAMBI_1896	0.08634500803260513
T15_2_0	HAMBI_1287	0.8947313131320936
