sample	strainID	count_correct	microcosm_id	n_species	community_type	replicate	plate_well	plate_no	notes	f
4_p09_A01	HAMBI_1287	397	NA	4	pos_control	1	A01	p09	positive control, cc	0.413111342351717
4_p09_A01	HAMBI_1977	355	NA	4	pos_control	1	A01	p09	positive control, cc	0.36940686784599375
4_p09_A01	HAMBI_0403	86	NA	4	pos_control	1	A01	p09	positive control, cc	0.08949011446409989
4_p09_A01	HAMBI_1896	123	NA	4	pos_control	1	A01	p09	positive control, cc	0.1279916753381894
4_p09_A02	HAMBI_1287	418	NA	4	neg_control	1	A02	p09	negative control	0.4034749034749035
4_p09_A02	HAMBI_1977	416	NA	4	neg_control	1	A02	p09	negative control	0.4015444015444015
4_p09_A02	HAMBI_1896	151	NA	4	neg_control	1	A02	p09	negative control	0.14575289575289574
4_p09_A02	HAMBI_0403	51	NA	4	neg_control	1	A02	p09	negative control	0.04922779922779923
4_p09_A03	HAMBI_1287	433	NA	4	neg_control	1	A03	p09	negative control	0.5474083438685209
4_p09_A03	HAMBI_1977	313	NA	4	neg_control	1	A03	p09	negative control	0.39570164348925413
4_p09_A03	HAMBI_1896	44	NA	4	neg_control	1	A03	p09	negative control	0.05562579013906448
4_p09_A03	HAMBI_0403	1	NA	4	neg_control	1	A03	p09	negative control	0.0012642225031605564
4_p09_A04	HAMBI_1287	381	NA	4	neg_control	1	A04	p09	negative control	0.5114093959731544
4_p09_A04	HAMBI_1977	318	NA	4	neg_control	1	A04	p09	negative control	0.4268456375838926
4_p09_A04	HAMBI_1896	46	NA	4	neg_control	1	A04	p09	negative control	0.06174496644295302
4_p09_B01	HAMBI_1287	456	NA	4	neg_control	1	B01	p09	negative control	0.41605839416058393
4_p09_B01	HAMBI_1977	424	NA	4	neg_control	1	B01	p09	negative control	0.38686131386861317
4_p09_B01	HAMBI_1896	135	NA	4	neg_control	1	B01	p09	negative control	0.12317518248175183
4_p09_B01	HAMBI_0403	81	NA	4	neg_control	1	B01	p09	negative control	0.0739051094890511
4_p09_B02	HAMBI_1287	560	NA	4	neg_control	1	B02	p09	negative control	0.4268292682926829
4_p09_B02	HAMBI_1977	510	NA	4	neg_control	1	B02	p09	negative control	0.38871951219512196
4_p09_B02	HAMBI_1896	181	NA	4	neg_control	1	B02	p09	negative control	0.13795731707317074
4_p09_B02	HAMBI_0403	61	NA	4	neg_control	1	B02	p09	negative control	0.04649390243902439
4_p09_B03	HAMBI_1287	555	NA	4	neg_control	1	B03	p09	negative control	0.5657492354740061
4_p09_B03	HAMBI_1977	374	NA	4	neg_control	1	B03	p09	negative control	0.381243628950051
4_p09_B03	HAMBI_1896	52	NA	4	neg_control	1	B03	p09	negative control	0.053007135575942915
4_p09_B04	HAMBI_1287	450	NA	4	neg_control	1	B04	p09	negative control	0.5113636363636364
4_p09_B04	HAMBI_1977	380	NA	4	neg_control	1	B04	p09	negative control	0.4318181818181818
4_p09_B04	HAMBI_1896	49	NA	4	neg_control	1	B04	p09	negative control	0.05568181818181818
4_p09_B04	HAMBI_0403	1	NA	4	neg_control	1	B04	p09	negative control	0.0011363636363636363
4_p09_G01	HAMBI_1287	349	NA	4	neg_control	1	G01	p09	negative control	0.3388349514563107
4_p09_G01	HAMBI_1977	393	NA	4	neg_control	1	G01	p09	negative control	0.38155339805825245
4_p09_G01	HAMBI_0403	138	NA	4	neg_control	1	G01	p09	negative control	0.13398058252427184
