sample	strainID	evo_hist	count_correct_thresh	f_thresh	target_f_masterplate	replicate	strep_conc	transfers	n_species	community_type	plate_well	batch
4_p11_A05	HAMBI_0403	anc	0	0	0.7	1	16	8	4	experiment	A05	run20250127
4_p11_A05	HAMBI_1287	anc	23696	1	0.1	1	16	8	4	experiment	A05	run20250127
4_p11_A05	HAMBI_1896	anc	0	0	0.1	1	16	8	4	experiment	A05	run20250127
4_p11_A05	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	A05	run20250127
4_p11_A06	HAMBI_0403	anc	0	0	0.7	1	16	8	4	experiment	A06	run20250127
4_p11_A06	HAMBI_1287	anc	11564	1	0.1	1	16	8	4	experiment	A06	run20250127
4_p11_A06	HAMBI_1896	anc	0	0	0.1	1	16	8	4	experiment	A06	run20250127
4_p11_A06	HAMBI_1977	evo	0	0	0.1	1	16	8	4	experiment	A06	run20250127
4_p11_A07	HAMBI_0403	anc	0	0	0.7	1	16	8	4	experiment	A07	run20250127
4_p11_A07	HAMBI_1287	anc	18476	1	0.1	1	16	8	4	experiment	A07	run20250127
4_p11_A07	HAMBI_1896	evo	0	0	0.1	1	16	8	4	experiment	A07	run20250127
4_p11_A07	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	A07	run20250127
4_p11_A08	HAMBI_0403	anc	0	0	0.7	1	16	8	4	experiment	A08	run20250127
4_p11_A08	HAMBI_1287	anc	12701	1	0.1	1	16	8	4	experiment	A08	run20250127
4_p11_A08	HAMBI_1896	evo	0	0	0.1	1	16	8	4	experiment	A08	run20250127
4_p11_A08	HAMBI_1977	evo	0	0	0.1	1	16	8	4	experiment	A08	run20250127
4_p11_A09	HAMBI_0403	anc	498	0.031972265023112484	0.7	1	16	8	4	experiment	A09	run20250127
4_p11_A09	HAMBI_1287	evo	7955	0.5107216230097587	0.1	1	16	8	4	experiment	A09	run20250127
4_p11_A09	HAMBI_1896	anc	7123	0.4573061119671289	0.1	1	16	8	4	experiment	A09	run20250127
4_p11_A09	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	A09	run20250127
4_p11_A10	HAMBI_0403	anc	0	0	0.7	1	16	8	4	experiment	A10	run20250127
4_p11_A10	HAMBI_1287	evo	2712	0.1504994450610433	0.1	1	16	8	4	experiment	A10	run20250127
4_p11_A10	HAMBI_1896	anc	4579	0.25410654827968926	0.1	1	16	8	4	experiment	A10	run20250127
4_p11_A10	HAMBI_1977	evo	10729	0.5953940066592674	0.1	1	16	8	4	experiment	A10	run20250127
4_p11_A11	HAMBI_0403	anc	476	0.03159012476771967	0.7	1	16	8	4	experiment	A11	run20250127
4_p11_A11	HAMBI_1287	evo	5658	0.3754977435625166	0.1	1	16	8	4	experiment	A11	run20250127
4_p11_A11	HAMBI_1896	evo	8934	0.5929121316697638	0.1	1	16	8	4	experiment	A11	run20250127
4_p11_A11	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	A11	run20250127
4_p11_A12	HAMBI_0403	anc	0	0	0.7	1	16	8	4	experiment	A12	run20250127
4_p11_A12	HAMBI_1287	evo	2069	0.1307590216773052	0.1	1	16	8	4	experiment	A12	run20250127
4_p11_A12	HAMBI_1896	evo	1898	0.11995196865322631	0.1	1	16	8	4	experiment	A12	run20250127
4_p11_A12	HAMBI_1977	evo	11856	0.7492890096694685	0.1	1	16	8	4	experiment	A12	run20250127
4_p11_B05	HAMBI_0403	evo	0	0	0.7	1	16	8	4	experiment	B05	run20250127
4_p11_B05	HAMBI_1287	anc	13460	1	0.1	1	16	8	4	experiment	B05	run20250127
4_p11_B05	HAMBI_1896	anc	0	0	0.1	1	16	8	4	experiment	B05	run20250127
4_p11_B05	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	B05	run20250127
4_p11_B06	HAMBI_0403	evo	0	0	0.7	1	16	8	4	experiment	B06	run20250127
4_p11_B06	HAMBI_1287	anc	11225	1	0.1	1	16	8	4	experiment	B06	run20250127
4_p11_B06	HAMBI_1896	anc	0	0	0.1	1	16	8	4	experiment	B06	run20250127
4_p11_B06	HAMBI_1977	evo	0	0	0.1	1	16	8	4	experiment	B06	run20250127
4_p11_B07	HAMBI_0403	evo	0	0	0.7	1	16	8	4	experiment	B07	run20250127
4_p11_B07	HAMBI_1287	anc	16094	1	0.1	1	16	8	4	experiment	B07	run20250127
4_p11_B07	HAMBI_1896	evo	0	0	0.1	1	16	8	4	experiment	B07	run20250127
4_p11_B07	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	B07	run20250127
4_p11_B08	HAMBI_0403	evo	0	0	0.7	1	16	8	4	experiment	B08	run20250127
4_p11_B08	HAMBI_1287	anc	13522	1	0.1	1	16	8	4	experiment	B08	run20250127
4_p11_B08	HAMBI_1896	evo	0	0	0.1	1	16	8	4	experiment	B08	run20250127
4_p11_B08	HAMBI_1977	evo	0	0	0.1	1	16	8	4	experiment	B08	run20250127
4_p11_B09	HAMBI_0403	evo	8690	0.5229898892633607	0.7	1	16	8	4	experiment	B09	run20250127
4_p11_B09	HAMBI_1287	evo	2494	0.15009629272989888	0.1	1	16	8	4	experiment	B09	run20250127
4_p11_B09	HAMBI_1896	anc	5432	0.32691381800674046	0.1	1	16	8	4	experiment	B09	run20250127
4_p11_B09	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	B09	run20250127
4_p11_B10	HAMBI_0403	evo	0	0	0.7	1	16	8	4	experiment	B10	run20250127
4_p11_B10	HAMBI_1287	evo	2351	0.1520010344604642	0.1	1	16	8	4	experiment	B10	run20250127
4_p11_B10	HAMBI_1896	anc	4094	0.2646925712807914	0.1	1	16	8	4	experiment	B10	run20250127
4_p11_B10	HAMBI_1977	evo	9022	0.5833063942587444	0.1	1	16	8	4	experiment	B10	run20250127
4_p11_B11	HAMBI_0403	evo	9644	0.5769667962907568	0.7	1	16	8	4	experiment	B11	run20250127
4_p11_B11	HAMBI_1287	evo	3559	0.21292252467843253	0.1	1	16	8	4	experiment	B11	run20250127
4_p11_B11	HAMBI_1896	evo	3512	0.21011067903081065	0.1	1	16	8	4	experiment	B11	run20250127
4_p11_B11	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	B11	run20250127
4_p11_B12	HAMBI_0403	evo	0	0	0.7	1	16	8	4	experiment	B12	run20250127
4_p11_B12	HAMBI_1287	evo	2269	0.1494532999604795	0.1	1	16	8	4	experiment	B12	run20250127
4_p11_B12	HAMBI_1896	evo	2008	0.13226188907917272	0.1	1	16	8	4	experiment	B12	run20250127
4_p11_B12	HAMBI_1977	evo	10905	0.7182848109603478	0.1	1	16	8	4	experiment	B12	run20250127
4_p11_C01	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C01	run20250127
4_p11_C01	HAMBI_1287	evo	6710	0.520195363981704	0.1	1	16	8	4	experiment	C01	run20250127
4_p11_C01	HAMBI_1896	anc	5595	0.4337545546166369	0.7	1	16	8	4	experiment	C01	run20250127
4_p11_C01	HAMBI_1977	anc	594	0.046050081401659046	0.1	1	16	8	4	experiment	C01	run20250127
4_p11_C02	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C02	run20250127
4_p11_C02	HAMBI_1287	evo	2293	0.1758840223977909	0.1	1	16	8	4	experiment	C02	run20250127
4_p11_C02	HAMBI_1896	anc	3476	0.26662575745953826	0.7	1	16	8	4	experiment	C02	run20250127
4_p11_C02	HAMBI_1977	evo	7268	0.5574902201426709	0.1	1	16	8	4	experiment	C02	run20250127
4_p11_C03	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C03	run20250127
4_p11_C03	HAMBI_1287	evo	4738	0.42719321972770713	0.1	1	16	8	4	experiment	C03	run20250127
4_p11_C03	HAMBI_1896	evo	5871	0.5293481200973762	0.7	1	16	8	4	experiment	C03	run20250127
4_p11_C03	HAMBI_1977	anc	482	0.0434586601749166	0.1	1	16	8	4	experiment	C03	run20250127
4_p11_C04	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C04	run20250127
4_p11_C04	HAMBI_1287	evo	858	0.06029938857263335	0.1	1	16	8	4	experiment	C04	run20250127
4_p11_C04	HAMBI_1896	evo	2327	0.16353925082577833	0.7	1	16	8	4	experiment	C04	run20250127
4_p11_C04	HAMBI_1977	evo	11044	0.7761613606015884	0.1	1	16	8	4	experiment	C04	run20250127
4_p11_C05	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C05	run20250127
4_p11_C05	HAMBI_1287	anc	12528	1	0.7	1	16	8	4	experiment	C05	run20250127
4_p11_C05	HAMBI_1896	anc	0	0	0.1	1	16	8	4	experiment	C05	run20250127
4_p11_C05	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	C05	run20250127
4_p11_C06	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C06	run20250127
4_p11_C06	HAMBI_1287	anc	9386	1	0.7	1	16	8	4	experiment	C06	run20250127
4_p11_C06	HAMBI_1896	anc	0	0	0.1	1	16	8	4	experiment	C06	run20250127
4_p11_C06	HAMBI_1977	evo	0	0	0.1	1	16	8	4	experiment	C06	run20250127
4_p11_C07	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C07	run20250127
4_p11_C07	HAMBI_1287	anc	15781	1	0.7	1	16	8	4	experiment	C07	run20250127
4_p11_C07	HAMBI_1896	evo	0	0	0.1	1	16	8	4	experiment	C07	run20250127
4_p11_C07	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	C07	run20250127
4_p11_C08	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C08	run20250127
4_p11_C08	HAMBI_1287	anc	13802	1	0.7	1	16	8	4	experiment	C08	run20250127
4_p11_C08	HAMBI_1896	evo	0	0	0.1	1	16	8	4	experiment	C08	run20250127
4_p11_C08	HAMBI_1977	evo	0	0	0.1	1	16	8	4	experiment	C08	run20250127
4_p11_C09	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C09	run20250127
4_p11_C09	HAMBI_1287	evo	5028	0.4009249661111554	0.7	1	16	8	4	experiment	C09	run20250127
4_p11_C09	HAMBI_1896	anc	7513	0.5990750338888446	0.1	1	16	8	4	experiment	C09	run20250127
4_p11_C09	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	C09	run20250127
4_p11_C10	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C10	run20250127
4_p11_C10	HAMBI_1287	evo	2532	0.15461651196873474	0.7	1	16	8	4	experiment	C10	run20250127
4_p11_C10	HAMBI_1896	anc	4223	0.2578773815339521	0.1	1	16	8	4	experiment	C10	run20250127
4_p11_C10	HAMBI_1977	evo	9621	0.5875061064973132	0.1	1	16	8	4	experiment	C10	run20250127
4_p11_C11	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C11	run20250127
4_p11_C11	HAMBI_1287	evo	5326	0.41940310260650443	0.7	1	16	8	4	experiment	C11	run20250127
4_p11_C11	HAMBI_1896	evo	7373	0.5805968973934955	0.1	1	16	8	4	experiment	C11	run20250127
4_p11_C11	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	C11	run20250127
4_p11_C12	HAMBI_0403	anc	0	0	0.1	1	16	8	4	experiment	C12	run20250127
4_p11_C12	HAMBI_1287	evo	2387	0.17561801059446733	0.7	1	16	8	4	experiment	C12	run20250127
4_p11_C12	HAMBI_1896	evo	1798	0.13228369629193643	0.1	1	16	8	4	experiment	C12	run20250127
4_p11_C12	HAMBI_1977	evo	9407	0.6920982931135963	0.1	1	16	8	4	experiment	C12	run20250127
4_p11_D01	HAMBI_0403	evo	7949	0.4863856085174081	0.1	1	16	8	4	experiment	D01	run20250127
4_p11_D01	HAMBI_1287	evo	3048	0.18650186624242795	0.1	1	16	8	4	experiment	D01	run20250127
4_p11_D01	HAMBI_1896	anc	4692	0.28709539252279265	0.7	1	16	8	4	experiment	D01	run20250127
4_p11_D01	HAMBI_1977	anc	654	0.040017132717371354	0.1	1	16	8	4	experiment	D01	run20250127
4_p11_D02	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D02	run20250127
4_p11_D02	HAMBI_1287	evo	2612	0.21206462612649185	0.1	1	16	8	4	experiment	D02	run20250127
4_p11_D02	HAMBI_1896	anc	3094	0.25119753186652594	0.7	1	16	8	4	experiment	D02	run20250127
4_p11_D02	HAMBI_1977	evo	6611	0.5367378420069823	0.1	1	16	8	4	experiment	D02	run20250127
4_p11_D03	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D03	run20250127
4_p11_D03	HAMBI_1287	evo	12978	0.8675713617220402	0.1	1	16	8	4	experiment	D03	run20250127
4_p11_D03	HAMBI_1896	evo	1981	0.13242863827795975	0.7	1	16	8	4	experiment	D03	run20250127
4_p11_D03	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	D03	run20250127
4_p11_D04	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D04	run20250127
4_p11_D04	HAMBI_1287	evo	2283	0.20343967207271432	0.1	1	16	8	4	experiment	D04	run20250127
4_p11_D04	HAMBI_1896	evo	1294	0.11530921404384245	0.7	1	16	8	4	experiment	D04	run20250127
4_p11_D04	HAMBI_1977	evo	7645	0.6812511138834433	0.1	1	16	8	4	experiment	D04	run20250127
4_p11_D05	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D05	run20250127
4_p11_D05	HAMBI_1287	anc	11963	1	0.7	1	16	8	4	experiment	D05	run20250127
4_p11_D05	HAMBI_1896	anc	0	0	0.1	1	16	8	4	experiment	D05	run20250127
4_p11_D05	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	D05	run20250127
4_p11_D06	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D06	run20250127
4_p11_D06	HAMBI_1287	anc	8192	1	0.7	1	16	8	4	experiment	D06	run20250127
4_p11_D06	HAMBI_1896	anc	0	0	0.1	1	16	8	4	experiment	D06	run20250127
4_p11_D06	HAMBI_1977	evo	0	0	0.1	1	16	8	4	experiment	D06	run20250127
4_p11_D07	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D07	run20250127
4_p11_D07	HAMBI_1287	anc	12321	1	0.7	1	16	8	4	experiment	D07	run20250127
4_p11_D07	HAMBI_1896	evo	0	0	0.1	1	16	8	4	experiment	D07	run20250127
4_p11_D07	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	D07	run20250127
4_p11_D08	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D08	run20250127
4_p11_D08	HAMBI_1287	anc	10504	1	0.7	1	16	8	4	experiment	D08	run20250127
4_p11_D08	HAMBI_1896	evo	0	0	0.1	1	16	8	4	experiment	D08	run20250127
4_p11_D08	HAMBI_1977	evo	0	0	0.1	1	16	8	4	experiment	D08	run20250127
4_p11_D09	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D09	run20250127
4_p11_D09	HAMBI_1287	evo	5463	0.4117115080262265	0.7	1	16	8	4	experiment	D09	run20250127
4_p11_D09	HAMBI_1896	anc	7806	0.5882884919737734	0.1	1	16	8	4	experiment	D09	run20250127
4_p11_D09	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	D09	run20250127
4_p11_D10	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D10	run20250127
4_p11_D10	HAMBI_1287	evo	2827	0.17347815414825724	0.7	1	16	8	4	experiment	D10	run20250127
4_p11_D10	HAMBI_1896	anc	3392	0.20814923907707414	0.1	1	16	8	4	experiment	D10	run20250127
4_p11_D10	HAMBI_1977	evo	10077	0.6183726067746687	0.1	1	16	8	4	experiment	D10	run20250127
4_p11_D11	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D11	run20250127
4_p11_D11	HAMBI_1287	evo	6188	0.5207001009761023	0.7	1	16	8	4	experiment	D11	run20250127
4_p11_D11	HAMBI_1896	evo	5696	0.4792998990238977	0.1	1	16	8	4	experiment	D11	run20250127
4_p11_D11	HAMBI_1977	anc	0	0	0.1	1	16	8	4	experiment	D11	run20250127
4_p11_D12	HAMBI_0403	evo	0	0	0.1	1	16	8	4	experiment	D12	run20250127
4_p11_D12	HAMBI_1287	evo	2657	0.17048444016682707	0.7	1	16	8	4	experiment	D12	run20250127
