sample	strainID	evo_hist	count_correct_thresh	f_thresh	target_f_masterplate	replicate	strep_conc	transfers	n_species	community_type	plate_well	batch
3_c01	HAMBI_0403	anc	614	0.07469586374695864	0.1	1	0	0	3	master	NA	run20250502
3_c01	HAMBI_1287	evo	873	0.1062043795620438	0.1	1	0	0	3	master	NA	run20250502
3_c01	HAMBI_1896	anc	6733	0.8190997566909975	0.8	1	0	0	3	master	NA	run20250502
3_c01_G03	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	G03	run20250502
3_c01_G03	HAMBI_1287	evo	2341	0.277830524566817	0.1	1	0	8	3	experiment	G03	run20250502
3_c01_G03	HAMBI_1896	anc	6085	0.722169475433183	0.8	1	0	8	3	experiment	G03	run20250502
3_c01_G06	HAMBI_0403	anc	0	0	0.1	1	16	8	3	experiment	G06	run20250502
3_c01_G06	HAMBI_1287	evo	2259	0.22372982073883332	0.1	1	16	8	3	experiment	G06	run20250502
3_c01_G06	HAMBI_1896	anc	7838	0.7762701792611667	0.8	1	16	8	3	experiment	G06	run20250502
3_c01_G09	HAMBI_0403	anc	0	0	0.1	1	64	8	3	experiment	G09	run20250502
3_c01_G09	HAMBI_1287	evo	1950	0.16646747481645893	0.1	1	64	8	3	experiment	G09	run20250502
3_c01_G09	HAMBI_1896	anc	9764	0.833532525183541	0.8	1	64	8	3	experiment	G09	run20250502
3_c01_G12	HAMBI_0403	anc	0	0	0.1	1	256	8	3	experiment	G12	run20250502
3_c01_G12	HAMBI_1287	evo	2797	1	0.1	1	256	8	3	experiment	G12	run20250502
3_c01_G12	HAMBI_1896	anc	0	0	0.8	1	256	8	3	experiment	G12	run20250502
3_c01_H03	HAMBI_0403	anc	4912	0.5803402646502835	0.1	2	0	8	3	experiment	H03	run20250502
3_c01_H03	HAMBI_1287	evo	1427	0.16859640831758035	0.1	2	0	8	3	experiment	H03	run20250502
3_c01_H03	HAMBI_1896	anc	2125	0.25106332703213613	0.8	2	0	8	3	experiment	H03	run20250502
3_c01_H06	HAMBI_0403	anc	0	0	0.1	2	16	8	3	experiment	H06	run20250502
3_c01_H06	HAMBI_1287	evo	2010	0.19495635305528614	0.1	2	16	8	3	experiment	H06	run20250502
3_c01_H06	HAMBI_1896	anc	8300	0.8050436469447139	0.8	2	16	8	3	experiment	H06	run20250502
3_c01_H09	HAMBI_0403	anc	0	0	0.1	2	64	8	3	experiment	H09	run20250502
3_c01_H09	HAMBI_1287	evo	1630	0.14584824624194703	0.1	2	64	8	3	experiment	H09	run20250502
3_c01_H09	HAMBI_1896	anc	9546	0.854151753758053	0.8	2	64	8	3	experiment	H09	run20250502
3_c01_H12	HAMBI_0403	anc	0	0	0.1	2	256	8	3	experiment	H12	run20250502
3_c01_H12	HAMBI_1287	evo	4492	1	0.1	2	256	8	3	experiment	H12	run20250502
3_c01_H12	HAMBI_1896	anc	0	0	0.8	2	256	8	3	experiment	H12	run20250502
