strep_conc	sp_1	sp_2	coexists
0	ANC_0403	ANC_1287	0
16	ANC_0403	ANC_1287	0
64	ANC_0403	ANC_1287	0
256	ANC_0403	ANC_1287	0
0	ANC_0403	ANC_1896	1
16	ANC_0403	ANC_1896	1
64	ANC_0403	ANC_1896	0
256	ANC_0403	ANC_1896	0
0	ANC_0403	ANC_1977	0
16	ANC_0403	ANC_1977	0
64	ANC_0403	ANC_1977	0
0	ANC_0403	EVO_1287	0
16	ANC_0403	EVO_1287	0
64	ANC_0403	EVO_1287	0
256	ANC_0403	EVO_1287	0
0	ANC_0403	EVO_1896	0
16	ANC_0403	EVO_1896	0
64	ANC_0403	EVO_1896	0
256	ANC_0403	EVO_1896	0
0	ANC_0403	EVO_1977	0
16	ANC_0403	EVO_1977	0
64	ANC_0403	EVO_1977	0
256	ANC_0403	EVO_1977	0
0	ANC_1287	ANC_1896	1
16	ANC_1287	ANC_1896	0
64	ANC_1287	ANC_1896	0
256	ANC_1287	ANC_1896	0
0	ANC_1287	ANC_1977	0
16	ANC_1287	ANC_1977	0
64	ANC_1287	ANC_1977	0
256	ANC_1287	ANC_1977	0
0	ANC_1287	EVO_0403	0
16	ANC_1287	EVO_0403	0
64	ANC_1287	EVO_0403	0
256	ANC_1287	EVO_0403	0
0	ANC_1287	EVO_1896	0
16	ANC_1287	EVO_1896	0
64	ANC_1287	EVO_1896	0
256	ANC_1287	EVO_1896	1
0	ANC_1287	EVO_1977	0
16	ANC_1287	EVO_1977	0
64	ANC_1287	EVO_1977	0
256	ANC_1287	EVO_1977	1
0	ANC_1896	ANC_1977	1
16	ANC_1896	ANC_1977	1
64	ANC_1896	ANC_1977	0
256	ANC_1896	ANC_1977	0
0	ANC_1896	EVO_0403	1
16	ANC_1896	EVO_0403	1
64	ANC_1896	EVO_0403	1
256	ANC_1896	EVO_0403	1
0	ANC_1896	EVO_1287	1
16	ANC_1896	EVO_1287	1
64	ANC_1896	EVO_1287	1
256	ANC_1896	EVO_1287	0
0	ANC_1896	EVO_1977	1
16	ANC_1896	EVO_1977	1
64	ANC_1896	EVO_1977	1
256	ANC_1896	EVO_1977	1
0	ANC_1977	EVO_0403	0
16	ANC_1977	EVO_0403	0
64	ANC_1977	EVO_0403	0
256	ANC_1977	EVO_0403	0
0	ANC_1977	EVO_1287	1
16	ANC_1977	EVO_1287	0
64	ANC_1977	EVO_1287	0
256	ANC_1977	EVO_1287	0
0	ANC_1977	EVO_1896	1
16	ANC_1977	EVO_1896	1
64	ANC_1977	EVO_1896	0
256	ANC_1977	EVO_1896	0
0	EVO_0403	EVO_1287	0
16	EVO_0403	EVO_1287	1
64	EVO_0403	EVO_1287	1
256	EVO_0403	EVO_1287	1
0	EVO_0403	EVO_1896	1
16	EVO_0403	EVO_1896	1
64	EVO_0403	EVO_1896	1
256	EVO_0403	EVO_1896	1
0	EVO_0403	EVO_1977	0
16	EVO_0403	EVO_1977	0
64	EVO_0403	EVO_1977	0
256	EVO_0403	EVO_1977	0
0	EVO_1287	EVO_1896	1
16	EVO_1287	EVO_1896	1
64	EVO_1287	EVO_1896	1
256	EVO_1287	EVO_1896	1
0	EVO_1287	EVO_1977	1
16	EVO_1287	EVO_1977	1
64	EVO_1287	EVO_1977	1
256	EVO_1287	EVO_1977	1
0	EVO_1896	EVO_1977	1
16	EVO_1896	EVO_1977	1
64	EVO_1896	EVO_1977	1
256	EVO_1896	EVO_1977	1
