sample	strainID	evo_hist	count_correct_thresh	f_thresh	target_f_masterplate	replicate	strep_conc	transfers	n_species	community_type	plate_well	batch
4_p09_A05	HAMBI_0403	anc	0	0	0.7	1	0	8	4	experiment	A05	run202410124
4_p09_A05	HAMBI_1287	anc	12268	0.7969856428246606	0.1	1	0	8	4	experiment	A05	run202410124
4_p09_A05	HAMBI_1896	anc	3125	0.20301435717533944	0.1	1	0	8	4	experiment	A05	run202410124
4_p09_A05	HAMBI_1977	anc	0	0	0.1	1	0	8	4	experiment	A05	run202410124
4_p09_A06	HAMBI_0403	anc	0	0	0.7	1	0	8	4	experiment	A06	run202410124
4_p09_A06	HAMBI_1287	anc	13963	1	0.1	1	0	8	4	experiment	A06	run202410124
4_p09_A06	HAMBI_1896	anc	0	0	0.1	1	0	8	4	experiment	A06	run202410124
4_p09_A06	HAMBI_1977	evo	0	0	0.1	1	0	8	4	experiment	A06	run202410124
4_p09_A07	HAMBI_0403	anc	0	0	0.7	1	0	8	4	experiment	A07	run202410124
4_p09_A07	HAMBI_1287	anc	13693	1	0.1	1	0	8	4	experiment	A07	run202410124
4_p09_A07	HAMBI_1896	evo	0	0	0.1	1	0	8	4	experiment	A07	run202410124
4_p09_A07	HAMBI_1977	anc	0	0	0.1	1	0	8	4	experiment	A07	run202410124
4_p09_A08	HAMBI_0403	anc	0	0	0.7	1	0	8	4	experiment	A08	run202410124
4_p09_A08	HAMBI_1287	anc	12932	1	0.1	1	0	8	4	experiment	A08	run202410124
4_p09_A08	HAMBI_1896	evo	0	0	0.1	1	0	8	4	experiment	A08	run202410124
4_p09_A08	HAMBI_1977	evo	0	0	0.1	1	0	8	4	experiment	A08	run202410124
4_p09_A09	HAMBI_0403	anc	0	0	0.7	1	0	8	4	experiment	A09	run202410124
4_p09_A09	HAMBI_1287	evo	1570	0.09730399752091726	0.1	1	0	8	4	experiment	A09	run202410124
4_p09_A09	HAMBI_1896	anc	3884	0.24071893399442207	0.1	1	0	8	4	experiment	A09	run202410124
4_p09_A09	HAMBI_1977	anc	10681	0.6619770684846606	0.1	1	0	8	4	experiment	A09	run202410124
4_p09_A10	HAMBI_0403	anc	0	0	0.7	1	0	8	4	experiment	A10	run202410124
4_p09_A10	HAMBI_1287	evo	1886	0.16904185713005287	0.1	1	0	8	4	experiment	A10	run202410124
4_p09_A10	HAMBI_1896	anc	2741	0.24567536076006097	0.1	1	0	8	4	experiment	A10	run202410124
4_p09_A10	HAMBI_1977	evo	6530	0.5852827821098862	0.1	1	0	8	4	experiment	A10	run202410124
4_p09_A11	HAMBI_0403	anc	0	0	0.7	1	0	8	4	experiment	A11	run202410124
4_p09_A11	HAMBI_1287	evo	1090	0.08257575757575758	0.1	1	0	8	4	experiment	A11	run202410124
4_p09_A11	HAMBI_1896	evo	1914	0.145	0.1	1	0	8	4	experiment	A11	run202410124
4_p09_A11	HAMBI_1977	anc	10196	0.7724242424242425	0.1	1	0	8	4	experiment	A11	run202410124
4_p09_A12	HAMBI_0403	anc	0	0	0.7	1	0	8	4	experiment	A12	run202410124
4_p09_A12	HAMBI_1287	evo	2404	0.1541519717858288	0.1	1	0	8	4	experiment	A12	run202410124
4_p09_A12	HAMBI_1896	evo	2507	0.1607566527733248	0.1	1	0	8	4	experiment	A12	run202410124
4_p09_A12	HAMBI_1977	evo	10684	0.6850913754408464	0.1	1	0	8	4	experiment	A12	run202410124
4_p09_B05	HAMBI_0403	evo	0	0	0.7	1	0	8	4	experiment	B05	run202410124
4_p09_B05	HAMBI_1287	anc	14674	1	0.1	1	0	8	4	experiment	B05	run202410124
4_p09_B05	HAMBI_1896	anc	0	0	0.1	1	0	8	4	experiment	B05	run202410124
