microcosm_id	n_species	well	evo_hist	strainID	target_f
3	2	A01	anc	HAMBI_0403	0.9
3	2	A01	anc	HAMBI_1977	0.1
27	2	B01	evo	HAMBI_0403	0.9
27	2	B01	anc	HAMBI_1977	0.1
9	2	C01	anc	HAMBI_1287	0.9
9	2	C01	anc	HAMBI_1977	0.1
33	2	D01	evo	HAMBI_1287	0.9
33	2	D01	anc	HAMBI_1977	0.1
15	2	E01	anc	HAMBI_1896	0.9
15	2	E01	anc	HAMBI_1977	0.1
39	2	F01	evo	HAMBI_1896	0.9
39	2	F01	anc	HAMBI_1977	0.1
6	2	A02	anc	HAMBI_0403	0.9
6	2	A02	evo	HAMBI_1977	0.1
30	2	B02	evo	HAMBI_0403	0.9
30	2	B02	evo	HAMBI_1977	0.1
12	2	C02	anc	HAMBI_1287	0.9
12	2	C02	evo	HAMBI_1977	0.1
36	2	D02	evo	HAMBI_1287	0.9
36	2	D02	evo	HAMBI_1977	0.1
18	2	E02	anc	HAMBI_1896	0.9
18	2	E02	evo	HAMBI_1977	0.1
42	2	F02	evo	HAMBI_1896	0.9
42	2	F02	evo	HAMBI_1977	0.1
2	2	A03	anc	HAMBI_0403	0.9
2	2	A03	anc	HAMBI_1896	0.1
26	2	B03	evo	HAMBI_0403	0.9
26	2	B03	anc	HAMBI_1896	0.1
8	2	C03	anc	HAMBI_1287	0.9
8	2	C03	anc	HAMBI_1896	0.1
32	2	D03	evo	HAMBI_1287	0.9
32	2	D03	anc	HAMBI_1896	0.1
5	2	A04	anc	HAMBI_0403	0.9
5	2	A04	evo	HAMBI_1896	0.1
29	2	B04	evo	HAMBI_0403	0.9
29	2	B04	evo	HAMBI_1896	0.1
11	2	C04	anc	HAMBI_1287	0.9
11	2	C04	evo	HAMBI_1896	0.1
35	2	D04	evo	HAMBI_1287	0.9
35	2	D04	evo	HAMBI_1896	0.1
1	2	A05	anc	HAMBI_0403	0.9
1	2	A05	anc	HAMBI_1287	0.1
25	2	B05	evo	HAMBI_0403	0.9
25	2	B05	anc	HAMBI_1287	0.1
4	2	A06	anc	HAMBI_0403	0.9
4	2	A06	evo	HAMBI_1287	0.1
28	2	B06	evo	HAMBI_0403	0.9
28	2	B06	evo	HAMBI_1287	0.1
19	2	A07	anc	HAMBI_1977	0.9
19	2	A07	anc	HAMBI_0403	0.1
22	2	B07	anc	HAMBI_1977	0.9
22	2	B07	evo	HAMBI_0403	0.1
20	2	C07	anc	HAMBI_1977	0.9
20	2	C07	anc	HAMBI_1287	0.1
23	2	D07	anc	HAMBI_1977	0.9
23	2	D07	evo	HAMBI_1287	0.1
21	2	E07	anc	HAMBI_1977	0.9
21	2	E07	anc	HAMBI_1896	0.1
24	2	F07	anc	HAMBI_1977	0.9
24	2	F07	evo	HAMBI_1896	0.1
43	2	A08	evo	HAMBI_1977	0.9
43	2	A08	anc	HAMBI_0403	0.1
46	2	B08	evo	HAMBI_1977	0.9
46	2	B08	evo	HAMBI_0403	0.1
44	2	C08	evo	HAMBI_1977	0.9
44	2	C08	anc	HAMBI_1287	0.1
47	2	D08	evo	HAMBI_1977	0.9
47	2	D08	evo	HAMBI_1287	0.1
45	2	E08	evo	HAMBI_1977	0.9
45	2	E08	anc	HAMBI_1896	0.1
48	2	F08	evo	HAMBI_1977	0.9
48	2	F08	evo	HAMBI_1896	0.1
13	2	A09	anc	HAMBI_1896	0.9
13	2	A09	anc	HAMBI_0403	0.1
16	2	B09	anc	HAMBI_1896	0.9
16	2	B09	evo	HAMBI_0403	0.1
14	2	C09	anc	HAMBI_1896	0.9
14	2	C09	anc	HAMBI_1287	0.1
17	2	D09	anc	HAMBI_1896	0.9
17	2	D09	evo	HAMBI_1287	0.1
37	2	A10	evo	HAMBI_1896	0.9
37	2	A10	anc	HAMBI_0403	0.1
40	2	B10	evo	HAMBI_1896	0.9
40	2	B10	evo	HAMBI_0403	0.1
38	2	C10	evo	HAMBI_1896	0.9
38	2	C10	anc	HAMBI_1287	0.1
41	2	D10	evo	HAMBI_1896	0.9
41	2	D10	evo	HAMBI_1287	0.1
7	2	A11	anc	HAMBI_1287	0.9
7	2	A11	anc	HAMBI_0403	0.1
10	2	B11	anc	HAMBI_1287	0.9
10	2	B11	evo	HAMBI_0403	0.1
31	2	A12	evo	HAMBI_1287	0.9
31	2	A12	anc	HAMBI_0403	0.1
34	2	B12	evo	HAMBI_1287	0.9
34	2	B12	evo	HAMBI_0403	0.1
