microcosm_id	well	a	a_sp	a_f	b	b_sp	b_f
3	A01	ANC_0403_50	0403A	50	ANC_1977_50	1977A	50
9	A01	ANC_0403_90	0403A	90	ANC_1977_10	1977A	10
6	A02	ANC_0403_50	0403A	50	EVO_1977_50	1977E	50
12	A02	ANC_0403_90	0403A	90	EVO_1977_10	1977E	10
2	A03	ANC_0403_50	0403A	50	ANC_1896_50	1896A	50
8	A03	ANC_0403_90	0403A	90	ANC_1896_10	1896A	10
5	A04	ANC_0403_50	0403A	50	EVO_1896_50	1896E	50
11	A04	ANC_0403_90	0403A	90	EVO_1896_10	1896E	10
1	A05	ANC_0403_50	0403A	50	ANC_1287_50	1287A	50
7	A05	ANC_0403_90	0403A	90	ANC_1287_10	1287A	10
4	A06	ANC_0403_50	0403A	50	EVO_1287_50	1287E	50
10	A06	ANC_0403_90	0403A	90	EVO_1287_10	1287E	10
31	A07	ANC_1977_90	1977A	90	ANC_0403_10	0403A	10
67	A08	EVO_1977_90	1977E	90	ANC_0403_10	0403A	10
25	A09	ANC_1896_90	1896A	90	ANC_0403_10	0403A	10
61	A10	EVO_1896_90	1896E	90	ANC_0403_10	0403A	10
17	A11	ANC_1287_90	1287A	90	ANC_0403_10	0403A	10
53	A12	EVO_1287_90	1287E	90	ANC_0403_10	0403A	10
39	B01	EVO_0403_50	0403E	50	ANC_1977_50	1977A	50
45	B01	EVO_0403_90	0403E	90	ANC_1977_10	1977A	10
42	B02	EVO_0403_50	0403E	50	EVO_1977_50	1977E	50
48	B02	EVO_0403_90	0403E	90	EVO_1977_10	1977E	10
38	B03	EVO_0403_50	0403E	50	ANC_1896_50	1896A	50
44	B03	EVO_0403_90	0403E	90	ANC_1896_10	1896A	10
41	B04	EVO_0403_50	0403E	50	EVO_1896_50	1896E	50
47	B04	EVO_0403_90	0403E	90	EVO_1896_10	1896E	10
37	B05	EVO_0403_50	0403E	50	ANC_1287_50	1287A	50
43	B05	EVO_0403_90	0403E	90	ANC_1287_10	1287A	10
40	B06	EVO_0403_50	0403E	50	EVO_1287_50	1287E	50
46	B06	EVO_0403_90	0403E	90	EVO_1287_10	1287E	10
34	B07	ANC_1977_90	1977A	90	EVO_0403_10	0403E	10
70	B08	EVO_1977_90	1977E	90	EVO_0403_10	0403E	10
28	B09	ANC_1896_90	1896A	90	EVO_0403_10	0403E	10
64	B10	EVO_1896_90	1896E	90	EVO_0403_10	0403E	10
20	B11	ANC_1287_90	1287A	90	EVO_0403_10	0403E	10
56	B12	EVO_1287_90	1287E	90	EVO_0403_10	0403E	10
14	C01	ANC_1287_50	1287A	50	ANC_1977_50	1977A	50
19	C01	ANC_1287_90	1287A	90	ANC_1977_10	1977A	10
16	C02	ANC_1287_50	1287A	50	EVO_1977_50	1977E	50
22	C02	ANC_1287_90	1287A	90	EVO_1977_10	1977E	10
13	C03	ANC_1287_50	1287A	50	ANC_1896_50	1896A	50
18	C03	ANC_1287_90	1287A	90	ANC_1896_10	1896A	10
15	C04	ANC_1287_50	1287A	50	EVO_1896_50	1896E	50
21	C04	ANC_1287_90	1287A	90	EVO_1896_10	1896E	10
32	C07	ANC_1977_90	1977A	90	ANC_1287_10	1287A	10
68	C08	EVO_1977_90	1977E	90	ANC_1287_10	1287A	10
26	C09	ANC_1896_90	1896A	90	ANC_1287_10	1287A	10
62	C10	EVO_1896_90	1896E	90	ANC_1287_10	1287A	10
50	D01	EVO_1287_50	1287E	50	ANC_1977_50	1977A	50
55	D01	EVO_1287_90	1287E	90	ANC_1977_10	1977A	10
52	D02	EVO_1287_50	1287E	50	EVO_1977_50	1977E	50
58	D02	EVO_1287_90	1287E	90	EVO_1977_10	1977E	10
49	D03	EVO_1287_50	1287E	50	ANC_1896_50	1896A	50
54	D03	EVO_1287_90	1287E	90	ANC_1896_10	1896A	10
51	D04	EVO_1287_50	1287E	50	EVO_1896_50	1896E	50
57	D04	EVO_1287_90	1287E	90	EVO_1896_10	1896E	10
35	D07	ANC_1977_90	1977A	90	EVO_1287_10	1287E	10
71	D08	EVO_1977_90	1977E	90	EVO_1287_10	1287E	10
29	D09	ANC_1896_90	1896A	90	EVO_1287_10	1287E	10
65	D10	EVO_1896_90	1896E	90	EVO_1287_10	1287E	10
23	E01	ANC_1896_50	1896A	50	ANC_1977_50	1977A	50
27	E01	ANC_1896_90	1896A	90	ANC_1977_10	1977A	10
24	E02	ANC_1896_50	1896A	50	EVO_1977_50	1977E	50
30	E02	ANC_1896_90	1896A	90	EVO_1977_10	1977E	10
33	E07	ANC_1977_90	1977A	90	ANC_1896_10	1896A	10
69	E08	EVO_1977_90	1977E	90	ANC_1896_10	1896A	10
59	F01	EVO_1896_50	1896E	50	ANC_1977_50	1977A	50
63	F01	EVO_1896_90	1896E	90	ANC_1977_10	1977A	10
60	F02	EVO_1896_50	1896E	50	EVO_1977_50	1977E	50
66	F02	EVO_1896_90	1896E	90	EVO_1977_10	1977E	10
36	F07	ANC_1977_90	1977A	90	EVO_1896_10	1896E	10
72	F08	EVO_1977_90	1977E	90	EVO_1896_10	1896E	10
