microcosm_id	n_species	well	evo_hist	strainID	target_f
1	4	E01	anc	HAMBI_0403	0.1
1	4	E01	anc	HAMBI_1287	0.1
1	4	E01	anc	HAMBI_1896	0.1
1	4	E01	anc	HAMBI_1977	0.7
2	4	E02	anc	HAMBI_0403	0.1
2	4	E02	anc	HAMBI_1287	0.1
2	4	E02	anc	HAMBI_1896	0.1
2	4	E02	evo	HAMBI_1977	0.7
5	4	E03	anc	HAMBI_0403	0.1
5	4	E03	anc	HAMBI_1287	0.1
5	4	E03	evo	HAMBI_1896	0.1
5	4	E03	anc	HAMBI_1977	0.7
6	4	E04	anc	HAMBI_0403	0.1
6	4	E04	anc	HAMBI_1287	0.1
6	4	E04	evo	HAMBI_1896	0.1
6	4	E04	evo	HAMBI_1977	0.7
3	4	E05	anc	HAMBI_0403	0.1
3	4	E05	anc	HAMBI_1287	0.1
3	4	E05	anc	HAMBI_1896	0.7
3	4	E05	anc	HAMBI_1977	0.1
4	4	E06	anc	HAMBI_0403	0.1
4	4	E06	anc	HAMBI_1287	0.1
4	4	E06	anc	HAMBI_1896	0.7
4	4	E06	evo	HAMBI_1977	0.1
7	4	E07	anc	HAMBI_0403	0.1
7	4	E07	anc	HAMBI_1287	0.1
7	4	E07	evo	HAMBI_1896	0.7
7	4	E07	anc	HAMBI_1977	0.1
8	4	E08	anc	HAMBI_0403	0.1
8	4	E08	anc	HAMBI_1287	0.1
8	4	E08	evo	HAMBI_1896	0.7
8	4	E08	evo	HAMBI_1977	0.1
13	4	E09	anc	HAMBI_0403	0.1
13	4	E09	evo	HAMBI_1287	0.1
13	4	E09	anc	HAMBI_1896	0.1
13	4	E09	anc	HAMBI_1977	0.7
14	4	E10	anc	HAMBI_0403	0.1
14	4	E10	evo	HAMBI_1287	0.1
14	4	E10	anc	HAMBI_1896	0.1
14	4	E10	evo	HAMBI_1977	0.7
17	4	E11	anc	HAMBI_0403	0.1
17	4	E11	evo	HAMBI_1287	0.1
17	4	E11	evo	HAMBI_1896	0.1
17	4	E11	anc	HAMBI_1977	0.7
18	4	E12	anc	HAMBI_0403	0.1
18	4	E12	evo	HAMBI_1287	0.1
18	4	E12	evo	HAMBI_1896	0.1
18	4	E12	evo	HAMBI_1977	0.7
15	4	C01	anc	HAMBI_0403	0.1
15	4	C01	evo	HAMBI_1287	0.1
15	4	C01	anc	HAMBI_1896	0.7
15	4	C01	anc	HAMBI_1977	0.1
16	4	C02	anc	HAMBI_0403	0.1
16	4	C02	evo	HAMBI_1287	0.1
16	4	C02	anc	HAMBI_1896	0.7
16	4	C02	evo	HAMBI_1977	0.1
19	4	C03	anc	HAMBI_0403	0.1
19	4	C03	evo	HAMBI_1287	0.1
19	4	C03	evo	HAMBI_1896	0.7
19	4	C03	anc	HAMBI_1977	0.1
20	4	C04	anc	HAMBI_0403	0.1
20	4	C04	evo	HAMBI_1287	0.1
