microcosm_id	n_species	well	evo_hist	strainID	target_f
1	3	A01	anc	HAMBI_0403	0.1
1	3	A01	anc	HAMBI_1287	0.1
1	3	A01	anc	HAMBI_1896	0.8
2	3	A02	anc	HAMBI_0403	0.1
2	3	A02	anc	HAMBI_1287	0.1
2	3	A02	anc	HAMBI_1977	0.8
3	3	A03	anc	HAMBI_0403	0.1
3	3	A03	anc	HAMBI_1287	0.1
3	3	A03	evo	HAMBI_1896	0.8
4	3	A04	anc	HAMBI_0403	0.1
4	3	A04	anc	HAMBI_1287	0.1
4	3	A04	evo	HAMBI_1977	0.8
5	3	A05	anc	HAMBI_0403	0.1
5	3	A05	anc	HAMBI_1287	0.8
5	3	A05	anc	HAMBI_1896	0.1
6	3	A06	anc	HAMBI_0403	0.1
6	3	A06	anc	HAMBI_1287	0.8
6	3	A06	anc	HAMBI_1977	0.1
7	3	A07	anc	HAMBI_0403	0.1
7	3	A07	anc	HAMBI_1287	0.8
7	3	A07	evo	HAMBI_1896	0.1
8	3	A08	anc	HAMBI_0403	0.1
8	3	A08	anc	HAMBI_1287	0.8
8	3	A08	evo	HAMBI_1977	0.1
9	3	A09	anc	HAMBI_0403	0.1
9	3	A09	anc	HAMBI_1977	0.1
9	3	A09	anc	HAMBI_1896	0.8
10	3	A10	anc	HAMBI_0403	0.1
10	3	A10	anc	HAMBI_1977	0.1
10	3	A10	evo	HAMBI_1896	0.8
11	3	A11	anc	HAMBI_0403	0.1
11	3	A11	anc	HAMBI_1977	0.8
11	3	A11	anc	HAMBI_1896	0.1
12	3	A12	anc	HAMBI_0403	0.1
12	3	A12	anc	HAMBI_1977	0.8
12	3	A12	evo	HAMBI_1896	0.1
13	3	C01	anc	HAMBI_0403	0.1
13	3	C01	evo	HAMBI_1287	0.1
13	3	C01	anc	HAMBI_1896	0.8
14	3	C02	anc	HAMBI_0403	0.1
14	3	C02	evo	HAMBI_1287	0.1
14	3	C02	anc	HAMBI_1977	0.8
15	3	C03	anc	HAMBI_0403	0.1
15	3	C03	evo	HAMBI_1287	0.1
15	3	C03	evo	HAMBI_1896	0.8
16	3	C04	anc	HAMBI_0403	0.1
16	3	C04	evo	HAMBI_1287	0.1
16	3	C04	evo	HAMBI_1977	0.8
17	3	C05	anc	HAMBI_0403	0.1
17	3	C05	evo	HAMBI_1287	0.8
17	3	C05	anc	HAMBI_1896	0.1
18	3	C06	anc	HAMBI_0403	0.1
18	3	C06	evo	HAMBI_1287	0.8
18	3	C06	anc	HAMBI_1977	0.1
19	3	C07	anc	HAMBI_0403	0.1
19	3	C07	evo	HAMBI_1287	0.8
19	3	C07	evo	HAMBI_1896	0.1
20	3	C08	anc	HAMBI_0403	0.1
20	3	C08	evo	HAMBI_1287	0.8
20	3	C08	evo	HAMBI_1977	0.1
21	3	C09	anc	HAMBI_0403	0.1
21	3	C09	evo	HAMBI_1977	0.1
21	3	C09	anc	HAMBI_1896	0.8
22	3	C10	anc	HAMBI_0403	0.1
22	3	C10	evo	HAMBI_1977	0.1
22	3	C10	evo	HAMBI_1896	0.8
23	3	C11	anc	HAMBI_0403	0.1
23	3	C11	evo	HAMBI_1977	0.8
23	3	C11	anc	HAMBI_1896	0.1
24	3	C12	anc	HAMBI_0403	0.1
24	3	C12	evo	HAMBI_1977	0.8
24	3	C12	evo	HAMBI_1896	0.1
25	3	E01	anc	HAMBI_0403	0.8
25	3	E01	anc	HAMBI_1287	0.1
25	3	E01	anc	HAMBI_1896	0.1
26	3	E02	anc	HAMBI_0403	0.8
26	3	E02	anc	HAMBI_1287	0.1
26	3	E02	anc	HAMBI_1977	0.1
27	3	E03	anc	HAMBI_0403	0.8
27	3	E03	anc	HAMBI_1287	0.1
27	3	E03	evo	HAMBI_1896	0.1
28	3	E04	anc	HAMBI_0403	0.8
28	3	E04	anc	HAMBI_1287	0.1
28	3	E04	evo	HAMBI_1977	0.1
29	3	E05	anc	HAMBI_0403	0.8
29	3	E05	anc	HAMBI_1977	0.1
29	3	E05	anc	HAMBI_1896	0.1
30	3	E06	anc	HAMBI_0403	0.8
30	3	E06	anc	HAMBI_1977	0.1
30	3	E06	evo	HAMBI_1896	0.1
31	3	E07	anc	HAMBI_0403	0.8
31	3	E07	evo	HAMBI_1287	0.1
31	3	E07	anc	HAMBI_1896	0.1
32	3	E08	anc	HAMBI_0403	0.8
32	3	E08	evo	HAMBI_1287	0.1
32	3	E08	anc	HAMBI_1977	0.1
33	3	E09	anc	HAMBI_0403	0.8
33	3	E09	evo	HAMBI_1287	0.1
33	3	E09	evo	HAMBI_1896	0.1
34	3	E10	anc	HAMBI_0403	0.8
34	3	E10	evo	HAMBI_1287	0.1
34	3	E10	evo	HAMBI_1977	0.1
35	3	E11	anc	HAMBI_0403	0.8
35	3	E11	evo	HAMBI_1977	0.1
35	3	E11	anc	HAMBI_1896	0.1
36	3	E12	anc	HAMBI_0403	0.8
36	3	E12	evo	HAMBI_1977	0.1
36	3	E12	evo	HAMBI_1896	0.1
37	3	G01	anc	HAMBI_1287	0.1
37	3	G01	anc	HAMBI_1977	0.1
37	3	G01	anc	HAMBI_1896	0.8
38	3	G02	anc	HAMBI_1287	0.1
38	3	G02	anc	HAMBI_1977	0.1
38	3	G02	evo	HAMBI_1896	0.8
39	3	G03	anc	HAMBI_1287	0.1
39	3	G03	anc	HAMBI_1977	0.8
39	3	G03	anc	HAMBI_1896	0.1
40	3	G04	anc	HAMBI_1287	0.1
40	3	G04	anc	HAMBI_1977	0.8
40	3	G04	evo	HAMBI_1896	0.1
41	3	G05	anc	HAMBI_1287	0.1
41	3	G05	evo	HAMBI_1977	0.1
41	3	G05	anc	HAMBI_1896	0.8
42	3	G06	anc	HAMBI_1287	0.1
42	3	G06	evo	HAMBI_1977	0.1
42	3	G06	evo	HAMBI_1896	0.8
43	3	G07	anc	HAMBI_1287	0.1
43	3	G07	evo	HAMBI_1977	0.8
43	3	G07	anc	HAMBI_1896	0.1
44	3	G08	anc	HAMBI_1287	0.1
44	3	G08	evo	HAMBI_1977	0.8
44	3	G08	evo	HAMBI_1896	0.1
45	3	G09	anc	HAMBI_1287	0.8
45	3	G09	anc	HAMBI_1977	0.1
45	3	G09	anc	HAMBI_1896	0.1
46	3	G10	anc	HAMBI_1287	0.8
46	3	G10	anc	HAMBI_1977	0.1
46	3	G10	evo	HAMBI_1896	0.1
47	3	G11	anc	HAMBI_1287	0.8
47	3	G11	evo	HAMBI_1977	0.1
47	3	G11	anc	HAMBI_1896	0.1
48	3	G12	anc	HAMBI_1287	0.8
48	3	G12	evo	HAMBI_1977	0.1
48	3	G12	evo	HAMBI_1896	0.1
49	3	B01	evo	HAMBI_0403	0.1
49	3	B01	anc	HAMBI_1287	0.1
49	3	B01	anc	HAMBI_1896	0.8
50	3	B02	evo	HAMBI_0403	0.1
50	3	B02	anc	HAMBI_1287	0.1
50	3	B02	anc	HAMBI_1977	0.8
51	3	B03	evo	HAMBI_0403	0.1
51	3	B03	anc	HAMBI_1287	0.1
51	3	B03	evo	HAMBI_1896	0.8
52	3	B04	evo	HAMBI_0403	0.1
52	3	B04	anc	HAMBI_1287	0.1
52	3	B04	evo	HAMBI_1977	0.8
53	3	B05	evo	HAMBI_0403	0.1
53	3	B05	anc	HAMBI_1287	0.8
53	3	B05	anc	HAMBI_1896	0.1
54	3	B06	evo	HAMBI_0403	0.1
54	3	B06	anc	HAMBI_1287	0.8
54	3	B06	anc	HAMBI_1977	0.1
55	3	B07	evo	HAMBI_0403	0.1
55	3	B07	anc	HAMBI_1287	0.8
55	3	B07	evo	HAMBI_1896	0.1
56	3	B08	evo	HAMBI_0403	0.1
56	3	B08	anc	HAMBI_1287	0.8
56	3	B08	evo	HAMBI_1977	0.1
57	3	B09	evo	HAMBI_0403	0.1
57	3	B09	anc	HAMBI_1977	0.1
57	3	B09	anc	HAMBI_1896	0.8
58	3	B10	evo	HAMBI_0403	0.1
58	3	B10	anc	HAMBI_1977	0.1
58	3	B10	evo	HAMBI_1896	0.8
59	3	B11	evo	HAMBI_0403	0.1
59	3	B11	anc	HAMBI_1977	0.8
59	3	B11	anc	HAMBI_1896	0.1
60	3	B12	evo	HAMBI_0403	0.1
60	3	B12	anc	HAMBI_1977	0.8
60	3	B12	evo	HAMBI_1896	0.1
61	3	D01	evo	HAMBI_0403	0.1
61	3	D01	evo	HAMBI_1287	0.1
61	3	D01	anc	HAMBI_1896	0.8
62	3	D02	evo	HAMBI_0403	0.1
62	3	D02	evo	HAMBI_1287	0.1
62	3	D02	anc	HAMBI_1977	0.8
63	3	D03	evo	HAMBI_0403	0.1
63	3	D03	evo	HAMBI_1287	0.1
63	3	D03	evo	HAMBI_1896	0.8
64	3	D04	evo	HAMBI_0403	0.1
64	3	D04	evo	HAMBI_1287	0.1
64	3	D04	evo	HAMBI_1977	0.8
65	3	D05	evo	HAMBI_0403	0.1
65	3	D05	evo	HAMBI_1287	0.8
65	3	D05	anc	HAMBI_1896	0.1
66	3	D06	evo	HAMBI_0403	0.1
66	3	D06	evo	HAMBI_1287	0.8
66	3	D06	anc	HAMBI_1977	0.1
67	3	D07	evo	HAMBI_0403	0.1
67	3	D07	evo	HAMBI_1287	0.8
67	3	D07	evo	HAMBI_1896	0.1
68	3	D08	evo	HAMBI_0403	0.1
68	3	D08	evo	HAMBI_1287	0.8
68	3	D08	evo	HAMBI_1977	0.1
69	3	D09	evo	HAMBI_0403	0.1
69	3	D09	evo	HAMBI_1977	0.1
69	3	D09	anc	HAMBI_1896	0.8
70	3	D10	evo	HAMBI_0403	0.1
70	3	D10	evo	HAMBI_1977	0.1
70	3	D10	evo	HAMBI_1896	0.8
71	3	D11	evo	HAMBI_0403	0.1
71	3	D11	evo	HAMBI_1977	0.8
71	3	D11	anc	HAMBI_1896	0.1
72	3	D12	evo	HAMBI_0403	0.1
72	3	D12	evo	HAMBI_1977	0.8
72	3	D12	evo	HAMBI_1896	0.1
73	3	F01	evo	HAMBI_0403	0.8
73	3	F01	anc	HAMBI_1287	0.1
73	3	F01	anc	HAMBI_1896	0.1
74	3	F02	evo	HAMBI_0403	0.8
74	3	F02	anc	HAMBI_1287	0.1
74	3	F02	anc	HAMBI_1977	0.1
75	3	F03	evo	HAMBI_0403	0.8
75	3	F03	anc	HAMBI_1287	0.1
75	3	F03	evo	HAMBI_1896	0.1
76	3	F04	evo	HAMBI_0403	0.8
76	3	F04	anc	HAMBI_1287	0.1
76	3	F04	evo	HAMBI_1977	0.1
77	3	F05	evo	HAMBI_0403	0.8
77	3	F05	anc	HAMBI_1977	0.1
77	3	F05	anc	HAMBI_1896	0.1
78	3	F06	evo	HAMBI_0403	0.8
78	3	F06	anc	HAMBI_1977	0.1
78	3	F06	evo	HAMBI_1896	0.1
79	3	F07	evo	HAMBI_0403	0.8
79	3	F07	evo	HAMBI_1287	0.1
79	3	F07	anc	HAMBI_1896	0.1
80	3	F08	evo	HAMBI_0403	0.8
80	3	F08	evo	HAMBI_1287	0.1
80	3	F08	anc	HAMBI_1977	0.1
81	3	F09	evo	HAMBI_0403	0.8
81	3	F09	evo	HAMBI_1287	0.1
81	3	F09	evo	HAMBI_1896	0.1
82	3	F10	evo	HAMBI_0403	0.8
82	3	F10	evo	HAMBI_1287	0.1
82	3	F10	evo	HAMBI_1977	0.1
83	3	F11	evo	HAMBI_0403	0.8
83	3	F11	evo	HAMBI_1977	0.1
83	3	F11	anc	HAMBI_1896	0.1
84	3	F12	evo	HAMBI_0403	0.8
84	3	F12	evo	HAMBI_1977	0.1
84	3	F12	evo	HAMBI_1896	0.1
85	3	H01	evo	HAMBI_1287	0.1
85	3	H01	anc	HAMBI_1977	0.1
85	3	H01	anc	HAMBI_1896	0.8
86	3	H02	evo	HAMBI_1287	0.1
86	3	H02	anc	HAMBI_1977	0.1
86	3	H02	evo	HAMBI_1896	0.8
87	3	H03	evo	HAMBI_1287	0.1
87	3	H03	anc	HAMBI_1977	0.8
87	3	H03	anc	HAMBI_1896	0.1
88	3	H04	evo	HAMBI_1287	0.1
88	3	H04	anc	HAMBI_1977	0.8
